date,county,state,fips,cases,deaths
2020-03-14,Tompkins,New York,36109.0,1,0.0
2020-03-15,Tompkins,New York,36109.0,1,0.0
2020-03-16,Tompkins,New York,36109.0,1,0.0
2020-03-17,Tompkins,New York,36109.0,1,0.0
2020-03-18,Tompkins,New York,36109.0,2,0.0
2020-03-19,Tompkins,New York,36109.0,7,0.0
2020-03-20,Tompkins,New York,36109.0,7,0.0
2020-03-21,Tompkins,New York,36109.0,11,0.0
2020-03-22,Tompkins,New York,36109.0,13,0.0
2020-03-23,Tompkins,New York,36109.0,15,0.0
2020-03-24,Tompkins,New York,36109.0,16,0.0
2020-03-25,Tompkins,New York,36109.0,16,0.0
2020-03-26,Tompkins,New York,36109.0,22,0.0
2020-03-27,Tompkins,New York,36109.0,26,0.0
2020-03-28,Tompkins,New York,36109.0,45,0.0
2020-03-29,Tompkins,New York,36109.0,52,0.0
2020-03-30,Tompkins,New York,36109.0,66,0.0
2020-03-31,Tompkins,New York,36109.0,66,0.0
2020-04-01,Tompkins,New York,36109.0,68,0.0
2020-04-02,Tompkins,New York,36109.0,87,0.0
2020-04-03,Tompkins,New York,36109.0,87,0.0
2020-04-04,Tompkins,New York,36109.0,87,0.0
2020-04-05,Tompkins,New York,36109.0,95,0.0
2020-04-06,Tompkins,New York,36109.0,98,0.0
2020-04-07,Tompkins,New York,36109.0,102,0.0
2020-04-08,Tompkins,New York,36109.0,102,0.0
2020-04-09,Tompkins,New York,36109.0,105,0.0
2020-04-10,Tompkins,New York,36109.0,105,0.0
2020-04-11,Tompkins,New York,36109.0,108,0.0
2020-04-12,Tompkins,New York,36109.0,109,2.0
2020-04-13,Tompkins,New York,36109.0,110,2.0
2020-04-14,Tompkins,New York,36109.0,112,2.0
2020-04-15,Tompkins,New York,36109.0,115,2.0
2020-04-16,Tompkins,New York,36109.0,116,2.0
2020-04-17,Tompkins,New York,36109.0,117,2.0
2020-04-18,Tompkins,New York,36109.0,117,2.0
2020-04-19,Tompkins,New York,36109.0,117,2.0
2020-04-20,Tompkins,New York,36109.0,119,2.0
2020-04-21,Tompkins,New York,36109.0,119,2.0
2020-04-22,Tompkins,New York,36109.0,119,2.0
2020-04-23,Tompkins,New York,36109.0,119,2.0
2020-04-24,Tompkins,New York,36109.0,121,2.0
2020-04-25,Tompkins,New York,36109.0,126,2.0
2020-04-26,Tompkins,New York,36109.0,126,2.0
2020-04-27,Tompkins,New York,36109.0,126,2.0
2020-04-28,Tompkins,New York,36109.0,126,2.0
2020-04-29,Tompkins,New York,36109.0,127,2.0
2020-04-30,Tompkins,New York,36109.0,128,2.0
2020-05-01,Tompkins,New York,36109.0,128,2.0
2020-05-02,Tompkins,New York,36109.0,128,2.0
2020-05-03,Tompkins,New York,36109.0,129,2.0
2020-05-04,Tompkins,New York,36109.0,129,2.0
2020-05-05,Tompkins,New York,36109.0,129,2.0
2020-05-06,Tompkins,New York,36109.0,129,2.0
2020-05-07,Tompkins,New York,36109.0,130,2.0
2020-05-08,Tompkins,New York,36109.0,131,2.0
2020-05-09,Tompkins,New York,36109.0,132,2.0
2020-05-10,Tompkins,New York,36109.0,132,2.0
2020-05-11,Tompkins,New York,36109.0,132,2.0
2020-05-12,Tompkins,New York,36109.0,132,2.0
2020-05-13,Tompkins,New York,36109.0,136,2.0
2020-05-14,Tompkins,New York,36109.0,136,2.0
2020-05-15,Tompkins,New York,36109.0,136,2.0
2020-05-16,Tompkins,New York,36109.0,138,2.0
2020-05-17,Tompkins,New York,36109.0,139,2.0
2020-05-18,Tompkins,New York,36109.0,141,2.0
2020-05-19,Tompkins,New York,36109.0,142,2.0
2020-05-20,Tompkins,New York,36109.0,145,2.0
2020-05-21,Tompkins,New York,36109.0,145,2.0
2020-05-22,Tompkins,New York,36109.0,147,2.0
2020-05-23,Tompkins,New York,36109.0,149,2.0
2020-05-24,Tompkins,New York,36109.0,151,2.0
2020-05-25,Tompkins,New York,36109.0,154,2.0
2020-05-26,Tompkins,New York,36109.0,154,2.0
2020-05-27,Tompkins,New York,36109.0,155,2.0
2020-05-28,Tompkins,New York,36109.0,156,2.0
2020-05-29,Tompkins,New York,36109.0,157,2.0
2020-05-30,Tompkins,New York,36109.0,161,2.0
2020-05-31,Tompkins,New York,36109.0,164,2.0
2020-06-01,Tompkins,New York,36109.0,164,2.0
2020-06-02,Tompkins,New York,36109.0,164,2.0
2020-06-03,Tompkins,New York,36109.0,165,2.0
2020-06-04,Tompkins,New York,36109.0,165,2.0
2020-06-05,Tompkins,New York,36109.0,167,2.0
2020-06-06,Tompkins,New York,36109.0,171,2.0
2020-06-07,Tompkins,New York,36109.0,171,2.0
2020-06-08,Tompkins,New York,36109.0,171,2.0
2020-06-09,Tompkins,New York,36109.0,171,2.0
2020-06-10,Tompkins,New York,36109.0,171,2.0
2020-06-11,Tompkins,New York,36109.0,171,2.0
2020-06-12,Tompkins,New York,36109.0,172,2.0
2020-06-13,Tompkins,New York,36109.0,173,2.0
2020-06-14,Tompkins,New York,36109.0,173,2.0
2020-06-15,Tompkins,New York,36109.0,173,2.0
2020-06-16,Tompkins,New York,36109.0,173,2.0
2020-06-17,Tompkins,New York,36109.0,173,2.0
2020-06-18,Tompkins,New York,36109.0,173,2.0
2020-06-19,Tompkins,New York,36109.0,173,2.0
2020-06-20,Tompkins,New York,36109.0,174,2.0
2020-06-21,Tompkins,New York,36109.0,175,2.0
2020-06-22,Tompkins,New York,36109.0,175,2.0
2020-06-23,Tompkins,New York,36109.0,175,2.0
2020-06-24,Tompkins,New York,36109.0,175,2.0
2020-06-25,Tompkins,New York,36109.0,175,2.0
2020-06-26,Tompkins,New York,36109.0,175,2.0
2020-06-27,Tompkins,New York,36109.0,175,2.0
2020-06-28,Tompkins,New York,36109.0,176,2.0
2020-06-29,Tompkins,New York,36109.0,177,2.0
2020-06-30,Tompkins,New York,36109.0,177,2.0
2020-07-01,Tompkins,New York,36109.0,177,2.0
2020-07-02,Tompkins,New York,36109.0,178,2.0
2020-07-03,Tompkins,New York,36109.0,178,2.0
2020-07-04,Tompkins,New York,36109.0,178,2.0
2020-07-05,Tompkins,New York,36109.0,179,2.0
2020-07-06,Tompkins,New York,36109.0,179,2.0
2020-07-07,Tompkins,New York,36109.0,179,2.0
2020-07-08,Tompkins,New York,36109.0,180,2.0
2020-07-09,Tompkins,New York,36109.0,180,2.0
2020-07-10,Tompkins,New York,36109.0,181,2.0
2020-07-11,Tompkins,New York,36109.0,183,2.0
2020-07-12,Tompkins,New York,36109.0,186,2.0
2020-07-13,Tompkins,New York,36109.0,186,2.0
2020-07-14,Tompkins,New York,36109.0,186,2.0
2020-07-15,Tompkins,New York,36109.0,198,2.0
2020-07-16,Tompkins,New York,36109.0,198,2.0
2020-07-17,Tompkins,New York,36109.0,198,2.0
2020-07-18,Tompkins,New York,36109.0,199,2.0
