,date,county,state,fips,cases,deaths
12712,2020-03-26,Toombs,Georgia,13279.0,1,0.0
14386,2020-03-27,Toombs,Georgia,13279.0,1,0.0
16175,2020-03-28,Toombs,Georgia,13279.0,1,0.0
18072,2020-03-29,Toombs,Georgia,13279.0,2,0.0
20067,2020-03-30,Toombs,Georgia,13279.0,2,0.0
22152,2020-03-31,Toombs,Georgia,13279.0,3,0.0
24317,2020-04-01,Toombs,Georgia,13279.0,3,0.0
26549,2020-04-02,Toombs,Georgia,13279.0,5,1.0
28855,2020-04-03,Toombs,Georgia,13279.0,5,1.0
31215,2020-04-04,Toombs,Georgia,13279.0,5,1.0
33622,2020-04-05,Toombs,Georgia,13279.0,5,1.0
36072,2020-04-06,Toombs,Georgia,13279.0,7,1.0
38565,2020-04-07,Toombs,Georgia,13279.0,8,1.0
41109,2020-04-08,Toombs,Georgia,13279.0,8,1.0
43683,2020-04-09,Toombs,Georgia,13279.0,11,1.0
46285,2020-04-10,Toombs,Georgia,13279.0,11,1.0
48916,2020-04-11,Toombs,Georgia,13279.0,11,1.0
51578,2020-04-12,Toombs,Georgia,13279.0,11,1.0
54258,2020-04-13,Toombs,Georgia,13279.0,12,1.0
56950,2020-04-14,Toombs,Georgia,13279.0,15,1.0
59657,2020-04-15,Toombs,Georgia,13279.0,17,1.0
62377,2020-04-16,Toombs,Georgia,13279.0,17,2.0
65110,2020-04-17,Toombs,Georgia,13279.0,19,2.0
67858,2020-04-18,Toombs,Georgia,13279.0,20,2.0
70620,2020-04-19,Toombs,Georgia,13279.0,20,2.0
73389,2020-04-20,Toombs,Georgia,13279.0,20,3.0
76165,2020-04-21,Toombs,Georgia,13279.0,21,3.0
78949,2020-04-22,Toombs,Georgia,13279.0,21,3.0
81742,2020-04-23,Toombs,Georgia,13279.0,23,3.0
84542,2020-04-24,Toombs,Georgia,13279.0,26,3.0
87351,2020-04-25,Toombs,Georgia,13279.0,27,3.0
90167,2020-04-26,Toombs,Georgia,13279.0,27,3.0
92986,2020-04-27,Toombs,Georgia,13279.0,28,3.0
95818,2020-04-28,Toombs,Georgia,13279.0,28,3.0
98663,2020-04-29,Toombs,Georgia,13279.0,30,3.0
101513,2020-04-30,Toombs,Georgia,13279.0,31,3.0
104368,2020-05-01,Toombs,Georgia,13279.0,31,3.0
107233,2020-05-02,Toombs,Georgia,13279.0,32,3.0
110103,2020-05-03,Toombs,Georgia,13279.0,34,3.0
112978,2020-05-04,Toombs,Georgia,13279.0,34,3.0
115861,2020-05-05,Toombs,Georgia,13279.0,35,3.0
