,date,county,state,fips,cases,deaths
167276,2020-05-22,Trego,Kansas,20195.0,1,0.0
170314,2020-05-23,Trego,Kansas,20195.0,1,0.0
173355,2020-05-24,Trego,Kansas,20195.0,1,0.0
176399,2020-05-25,Trego,Kansas,20195.0,1,0.0
179443,2020-05-26,Trego,Kansas,20195.0,1,0.0
182488,2020-05-27,Trego,Kansas,20195.0,1,0.0
185542,2020-05-28,Trego,Kansas,20195.0,1,0.0
188600,2020-05-29,Trego,Kansas,20195.0,1,0.0
191664,2020-05-30,Trego,Kansas,20195.0,1,0.0
194732,2020-05-31,Trego,Kansas,20195.0,1,0.0
197802,2020-06-01,Trego,Kansas,20195.0,1,0.0
200874,2020-06-02,Trego,Kansas,20195.0,1,0.0
203951,2020-06-03,Trego,Kansas,20195.0,1,0.0
207032,2020-06-04,Trego,Kansas,20195.0,1,0.0
210113,2020-06-05,Trego,Kansas,20195.0,1,0.0
213198,2020-06-06,Trego,Kansas,20195.0,1,0.0
216285,2020-06-07,Trego,Kansas,20195.0,1,0.0
219377,2020-06-08,Trego,Kansas,20195.0,1,0.0
222472,2020-06-09,Trego,Kansas,20195.0,1,0.0
225567,2020-06-10,Trego,Kansas,20195.0,1,0.0
228669,2020-06-11,Trego,Kansas,20195.0,1,0.0
231772,2020-06-12,Trego,Kansas,20195.0,1,0.0
234878,2020-06-13,Trego,Kansas,20195.0,1,0.0
237985,2020-06-14,Trego,Kansas,20195.0,1,0.0
241094,2020-06-15,Trego,Kansas,20195.0,1,0.0
244205,2020-06-16,Trego,Kansas,20195.0,1,0.0
247318,2020-06-17,Trego,Kansas,20195.0,1,0.0
250430,2020-06-18,Trego,Kansas,20195.0,1,0.0
253545,2020-06-19,Trego,Kansas,20195.0,1,0.0
256665,2020-06-20,Trego,Kansas,20195.0,1,0.0
259791,2020-06-21,Trego,Kansas,20195.0,1,0.0
262919,2020-06-22,Trego,Kansas,20195.0,1,0.0
266047,2020-06-23,Trego,Kansas,20195.0,1,0.0
269179,2020-06-24,Trego,Kansas,20195.0,1,0.0
272316,2020-06-25,Trego,Kansas,20195.0,1,0.0
275459,2020-06-26,Trego,Kansas,20195.0,1,0.0
278607,2020-06-27,Trego,Kansas,20195.0,1,0.0
281755,2020-06-28,Trego,Kansas,20195.0,1,0.0
284901,2020-06-29,Trego,Kansas,20195.0,1,0.0
288050,2020-06-30,Trego,Kansas,20195.0,1,0.0
291200,2020-07-01,Trego,Kansas,20195.0,1,0.0
294354,2020-07-02,Trego,Kansas,20195.0,1,0.0
297512,2020-07-03,Trego,Kansas,20195.0,1,0.0
300674,2020-07-04,Trego,Kansas,20195.0,1,0.0
303838,2020-07-05,Trego,Kansas,20195.0,1,0.0
307005,2020-07-06,Trego,Kansas,20195.0,1,0.0
310173,2020-07-07,Trego,Kansas,20195.0,1,0.0
313343,2020-07-08,Trego,Kansas,20195.0,2,0.0
316517,2020-07-09,Trego,Kansas,20195.0,2,0.0
319692,2020-07-10,Trego,Kansas,20195.0,2,0.0
322871,2020-07-11,Trego,Kansas,20195.0,2,0.0
326054,2020-07-12,Trego,Kansas,20195.0,2,0.0
329240,2020-07-13,Trego,Kansas,20195.0,2,0.0
332427,2020-07-14,Trego,Kansas,20195.0,2,0.0
335620,2020-07-15,Trego,Kansas,20195.0,3,0.0
338816,2020-07-16,Trego,Kansas,20195.0,3,0.0
342012,2020-07-17,Trego,Kansas,20195.0,3,0.0
345212,2020-07-18,Trego,Kansas,20195.0,3,0.0
348413,2020-07-19,Trego,Kansas,20195.0,3,0.0
351613,2020-07-20,Trego,Kansas,20195.0,3,0.0
354815,2020-07-21,Trego,Kansas,20195.0,3,0.0
358017,2020-07-22,Trego,Kansas,20195.0,3,0.0
361222,2020-07-23,Trego,Kansas,20195.0,3,0.0
364429,2020-07-24,Trego,Kansas,20195.0,3,0.0
367636,2020-07-25,Trego,Kansas,20195.0,3,0.0
370846,2020-07-26,Trego,Kansas,20195.0,3,0.0
374058,2020-07-27,Trego,Kansas,20195.0,3,0.0
377273,2020-07-28,Trego,Kansas,20195.0,3,0.0
380490,2020-07-29,Trego,Kansas,20195.0,5,0.0
383707,2020-07-30,Trego,Kansas,20195.0,5,0.0
386925,2020-07-31,Trego,Kansas,20195.0,5,0.0
390142,2020-08-01,Trego,Kansas,20195.0,5,0.0
393359,2020-08-02,Trego,Kansas,20195.0,5,0.0
396575,2020-08-03,Trego,Kansas,20195.0,5,0.0
399790,2020-08-04,Trego,Kansas,20195.0,5,0.0
403007,2020-08-05,Trego,Kansas,20195.0,5,0.0
406225,2020-08-06,Trego,Kansas,20195.0,5,0.0
409444,2020-08-07,Trego,Kansas,20195.0,6,0.0
412664,2020-08-08,Trego,Kansas,20195.0,6,0.0
415884,2020-08-09,Trego,Kansas,20195.0,6,0.0
419105,2020-08-10,Trego,Kansas,20195.0,6,0.0
422328,2020-08-11,Trego,Kansas,20195.0,6,0.0
425549,2020-08-12,Trego,Kansas,20195.0,6,1.0
428773,2020-08-13,Trego,Kansas,20195.0,6,1.0
432001,2020-08-14,Trego,Kansas,20195.0,7,1.0
435226,2020-08-15,Trego,Kansas,20195.0,7,1.0
438451,2020-08-16,Trego,Kansas,20195.0,7,1.0
441678,2020-08-17,Trego,Kansas,20195.0,7,1.0
444904,2020-08-18,Trego,Kansas,20195.0,7,1.0
448131,2020-08-19,Trego,Kansas,20195.0,7,1.0
451359,2020-08-20,Trego,Kansas,20195.0,7,1.0
454587,2020-08-21,Trego,Kansas,20195.0,7,1.0
457815,2020-08-22,Trego,Kansas,20195.0,7,1.0
461042,2020-08-23,Trego,Kansas,20195.0,7,1.0
464272,2020-08-24,Trego,Kansas,20195.0,9,1.0
467501,2020-08-25,Trego,Kansas,20195.0,9,1.0
470730,2020-08-26,Trego,Kansas,20195.0,11,1.0
473962,2020-08-27,Trego,Kansas,20195.0,11,1.0
477195,2020-08-28,Trego,Kansas,20195.0,24,1.0
480428,2020-08-29,Trego,Kansas,20195.0,24,1.0
483662,2020-08-30,Trego,Kansas,20195.0,24,1.0
486897,2020-08-31,Trego,Kansas,20195.0,24,1.0
490130,2020-09-01,Trego,Kansas,20195.0,24,1.0
493363,2020-09-02,Trego,Kansas,20195.0,30,1.0
496597,2020-09-03,Trego,Kansas,20195.0,30,1.0
499830,2020-09-04,Trego,Kansas,20195.0,30,1.0
503064,2020-09-05,Trego,Kansas,20195.0,30,1.0
506298,2020-09-06,Trego,Kansas,20195.0,30,1.0
509530,2020-09-07,Trego,Kansas,20195.0,30,1.0
