date,county,state,fips,cases,deaths
2020-04-12,Trigg,Kentucky,21221.0,4,0.0
2020-04-13,Trigg,Kentucky,21221.0,4,0.0
2020-04-14,Trigg,Kentucky,21221.0,4,0.0
2020-04-15,Trigg,Kentucky,21221.0,4,0.0
2020-04-16,Trigg,Kentucky,21221.0,4,0.0
2020-04-17,Trigg,Kentucky,21221.0,4,0.0
2020-04-18,Trigg,Kentucky,21221.0,4,0.0
2020-04-19,Trigg,Kentucky,21221.0,4,0.0
2020-04-20,Trigg,Kentucky,21221.0,4,0.0
2020-04-21,Trigg,Kentucky,21221.0,4,0.0
2020-04-22,Trigg,Kentucky,21221.0,4,0.0
2020-04-23,Trigg,Kentucky,21221.0,4,0.0
2020-04-24,Trigg,Kentucky,21221.0,4,0.0
2020-04-25,Trigg,Kentucky,21221.0,5,0.0
2020-04-26,Trigg,Kentucky,21221.0,5,0.0
2020-04-27,Trigg,Kentucky,21221.0,5,0.0
2020-04-28,Trigg,Kentucky,21221.0,8,0.0
2020-04-29,Trigg,Kentucky,21221.0,9,0.0
2020-04-30,Trigg,Kentucky,21221.0,9,0.0
2020-05-01,Trigg,Kentucky,21221.0,9,0.0
2020-05-02,Trigg,Kentucky,21221.0,9,0.0
2020-05-03,Trigg,Kentucky,21221.0,9,0.0
2020-05-04,Trigg,Kentucky,21221.0,9,0.0
2020-05-05,Trigg,Kentucky,21221.0,9,0.0
2020-05-06,Trigg,Kentucky,21221.0,9,0.0
2020-05-07,Trigg,Kentucky,21221.0,9,0.0
2020-05-08,Trigg,Kentucky,21221.0,9,0.0
2020-05-09,Trigg,Kentucky,21221.0,9,0.0
2020-05-10,Trigg,Kentucky,21221.0,9,0.0
2020-05-11,Trigg,Kentucky,21221.0,9,0.0
2020-05-12,Trigg,Kentucky,21221.0,9,0.0
2020-05-13,Trigg,Kentucky,21221.0,9,0.0
2020-05-14,Trigg,Kentucky,21221.0,9,0.0
2020-05-15,Trigg,Kentucky,21221.0,9,0.0
2020-05-16,Trigg,Kentucky,21221.0,9,0.0
2020-05-17,Trigg,Kentucky,21221.0,9,0.0
2020-05-18,Trigg,Kentucky,21221.0,9,0.0
2020-05-19,Trigg,Kentucky,21221.0,9,0.0
2020-05-20,Trigg,Kentucky,21221.0,9,0.0
2020-05-21,Trigg,Kentucky,21221.0,9,0.0
2020-05-22,Trigg,Kentucky,21221.0,9,0.0
2020-05-23,Trigg,Kentucky,21221.0,9,0.0
2020-05-24,Trigg,Kentucky,21221.0,9,0.0
2020-05-25,Trigg,Kentucky,21221.0,9,0.0
2020-05-26,Trigg,Kentucky,21221.0,9,0.0
2020-05-27,Trigg,Kentucky,21221.0,10,0.0
2020-05-28,Trigg,Kentucky,21221.0,10,0.0
2020-05-29,Trigg,Kentucky,21221.0,10,0.0
2020-05-30,Trigg,Kentucky,21221.0,10,0.0
2020-05-31,Trigg,Kentucky,21221.0,10,0.0
2020-06-01,Trigg,Kentucky,21221.0,10,0.0
2020-06-02,Trigg,Kentucky,21221.0,10,0.0
2020-06-03,Trigg,Kentucky,21221.0,10,0.0
2020-06-04,Trigg,Kentucky,21221.0,11,0.0
2020-06-05,Trigg,Kentucky,21221.0,11,0.0
2020-06-06,Trigg,Kentucky,21221.0,11,0.0
2020-06-07,Trigg,Kentucky,21221.0,11,0.0
2020-06-08,Trigg,Kentucky,21221.0,11,0.0
2020-06-09,Trigg,Kentucky,21221.0,12,0.0
2020-06-10,Trigg,Kentucky,21221.0,13,0.0
2020-06-11,Trigg,Kentucky,21221.0,14,0.0
2020-06-12,Trigg,Kentucky,21221.0,16,0.0
2020-06-13,Trigg,Kentucky,21221.0,17,0.0
2020-06-14,Trigg,Kentucky,21221.0,17,0.0
2020-06-15,Trigg,Kentucky,21221.0,17,0.0
2020-06-16,Trigg,Kentucky,21221.0,17,0.0
2020-06-17,Trigg,Kentucky,21221.0,17,0.0
2020-06-18,Trigg,Kentucky,21221.0,18,0.0
2020-06-19,Trigg,Kentucky,21221.0,20,0.0
2020-06-20,Trigg,Kentucky,21221.0,22,0.0
2020-06-21,Trigg,Kentucky,21221.0,22,0.0
2020-06-22,Trigg,Kentucky,21221.0,23,0.0
