,date,county,state,fips,cases,deaths
7383,2020-03-22,Valley,Idaho,16085.0,1,0.0
8538,2020-03-23,Valley,Idaho,16085.0,1,0.0
9801,2020-03-24,Valley,Idaho,16085.0,1,0.0
11191,2020-03-25,Valley,Idaho,16085.0,1,0.0
12746,2020-03-26,Valley,Idaho,16085.0,1,0.0
14421,2020-03-27,Valley,Idaho,16085.0,1,0.0
16214,2020-03-28,Valley,Idaho,16085.0,1,0.0
18112,2020-03-29,Valley,Idaho,16085.0,1,0.0
20112,2020-03-30,Valley,Idaho,16085.0,2,0.0
22203,2020-03-31,Valley,Idaho,16085.0,2,0.0
24371,2020-04-01,Valley,Idaho,16085.0,2,0.0
26603,2020-04-02,Valley,Idaho,16085.0,3,0.0
28910,2020-04-03,Valley,Idaho,16085.0,3,0.0
31272,2020-04-04,Valley,Idaho,16085.0,2,0.0
33679,2020-04-05,Valley,Idaho,16085.0,2,0.0
36130,2020-04-06,Valley,Idaho,16085.0,2,0.0
38624,2020-04-07,Valley,Idaho,16085.0,2,0.0
41168,2020-04-08,Valley,Idaho,16085.0,2,0.0
43742,2020-04-09,Valley,Idaho,16085.0,2,0.0
46344,2020-04-10,Valley,Idaho,16085.0,2,0.0
48975,2020-04-11,Valley,Idaho,16085.0,2,0.0
51637,2020-04-12,Valley,Idaho,16085.0,2,0.0
54317,2020-04-13,Valley,Idaho,16085.0,2,0.0
57009,2020-04-14,Valley,Idaho,16085.0,2,0.0
59716,2020-04-15,Valley,Idaho,16085.0,2,0.0
62436,2020-04-16,Valley,Idaho,16085.0,2,0.0
65168,2020-04-17,Valley,Idaho,16085.0,2,0.0
67916,2020-04-18,Valley,Idaho,16085.0,2,0.0
70678,2020-04-19,Valley,Idaho,16085.0,2,0.0
73447,2020-04-20,Valley,Idaho,16085.0,2,0.0
76223,2020-04-21,Valley,Idaho,16085.0,2,0.0
79007,2020-04-22,Valley,Idaho,16085.0,2,0.0
81800,2020-04-23,Valley,Idaho,16085.0,2,0.0
84600,2020-04-24,Valley,Idaho,16085.0,2,0.0
87410,2020-04-25,Valley,Idaho,16085.0,2,0.0
90226,2020-04-26,Valley,Idaho,16085.0,2,0.0
93045,2020-04-27,Valley,Idaho,16085.0,2,0.0
