date,county,state,fips,cases,deaths
2020-03-26,Vermilion,Louisiana,22113.0,1,0.0
2020-03-27,Vermilion,Louisiana,22113.0,2,0.0
2020-03-28,Vermilion,Louisiana,22113.0,3,1.0
2020-03-29,Vermilion,Louisiana,22113.0,2,1.0
2020-03-30,Vermilion,Louisiana,22113.0,3,1.0
2020-03-31,Vermilion,Louisiana,22113.0,8,1.0
2020-04-01,Vermilion,Illinois,17183.0,1,0.0
2020-04-01,Vermilion,Louisiana,22113.0,10,1.0
2020-04-02,Vermilion,Illinois,17183.0,2,0.0
2020-04-02,Vermilion,Louisiana,22113.0,16,1.0
2020-04-03,Vermilion,Illinois,17183.0,2,0.0
2020-04-03,Vermilion,Louisiana,22113.0,18,1.0
2020-04-04,Vermilion,Illinois,17183.0,5,0.0
2020-04-04,Vermilion,Louisiana,22113.0,15,1.0
2020-04-05,Vermilion,Illinois,17183.0,5,0.0
2020-04-05,Vermilion,Louisiana,22113.0,16,1.0
2020-04-06,Vermilion,Illinois,17183.0,5,0.0
2020-04-06,Vermilion,Louisiana,22113.0,17,1.0
2020-04-07,Vermilion,Illinois,17183.0,5,0.0
2020-04-07,Vermilion,Louisiana,22113.0,19,1.0
2020-04-08,Vermilion,Illinois,17183.0,5,0.0
2020-04-08,Vermilion,Louisiana,22113.0,22,1.0
2020-04-09,Vermilion,Illinois,17183.0,5,0.0
2020-04-09,Vermilion,Louisiana,22113.0,22,1.0
2020-04-10,Vermilion,Illinois,17183.0,7,0.0
2020-04-10,Vermilion,Louisiana,22113.0,22,1.0
2020-04-11,Vermilion,Illinois,17183.0,7,0.0
2020-04-11,Vermilion,Louisiana,22113.0,24,1.0
2020-04-12,Vermilion,Illinois,17183.0,8,0.0
2020-04-12,Vermilion,Louisiana,22113.0,26,1.0
2020-04-13,Vermilion,Illinois,17183.0,8,0.0
2020-04-13,Vermilion,Louisiana,22113.0,26,1.0
2020-04-14,Vermilion,Illinois,17183.0,8,0.0
2020-04-14,Vermilion,Louisiana,22113.0,27,1.0
2020-04-15,Vermilion,Illinois,17183.0,8,0.0
2020-04-15,Vermilion,Louisiana,22113.0,27,1.0
2020-04-16,Vermilion,Illinois,17183.0,8,0.0
2020-04-16,Vermilion,Louisiana,22113.0,28,1.0
2020-04-17,Vermilion,Illinois,17183.0,8,0.0
2020-04-17,Vermilion,Louisiana,22113.0,28,1.0
2020-04-18,Vermilion,Illinois,17183.0,9,0.0
2020-04-18,Vermilion,Louisiana,22113.0,30,1.0
2020-04-19,Vermilion,Illinois,17183.0,9,0.0
2020-04-19,Vermilion,Louisiana,22113.0,30,1.0
2020-04-20,Vermilion,Illinois,17183.0,9,0.0
2020-04-20,Vermilion,Louisiana,22113.0,33,1.0
2020-04-21,Vermilion,Illinois,17183.0,10,0.0
2020-04-21,Vermilion,Louisiana,22113.0,33,1.0
2020-04-22,Vermilion,Illinois,17183.0,10,0.0
2020-04-22,Vermilion,Louisiana,22113.0,33,1.0
2020-04-23,Vermilion,Illinois,17183.0,10,0.0
2020-04-23,Vermilion,Louisiana,22113.0,33,1.0
2020-04-24,Vermilion,Illinois,17183.0,11,0.0
2020-04-24,Vermilion,Louisiana,22113.0,33,1.0
2020-04-25,Vermilion,Illinois,17183.0,11,0.0
2020-04-25,Vermilion,Louisiana,22113.0,34,1.0
2020-04-26,Vermilion,Illinois,17183.0,11,0.0
2020-04-26,Vermilion,Louisiana,22113.0,34,1.0
2020-04-27,Vermilion,Illinois,17183.0,14,0.0
2020-04-27,Vermilion,Louisiana,22113.0,35,1.0
2020-04-28,Vermilion,Illinois,17183.0,16,0.0
2020-04-28,Vermilion,Louisiana,22113.0,35,1.0
2020-04-29,Vermilion,Illinois,17183.0,16,1.0
2020-04-29,Vermilion,Louisiana,22113.0,35,1.0
2020-04-30,Vermilion,Illinois,17183.0,17,1.0
