,date,county,state,fips,cases,deaths
16326,2020-03-28,Wabash,Indiana,18169.0,1,0.0
18231,2020-03-29,Wabash,Indiana,18169.0,1,0.0
20237,2020-03-30,Wabash,Indiana,18169.0,1,0.0
22332,2020-03-31,Wabash,Indiana,18169.0,1,0.0
24504,2020-04-01,Wabash,Indiana,18169.0,1,0.0
26744,2020-04-02,Wabash,Indiana,18169.0,1,0.0
29055,2020-04-03,Wabash,Indiana,18169.0,1,0.0
31423,2020-04-04,Wabash,Indiana,18169.0,1,0.0
33834,2020-04-05,Wabash,Indiana,18169.0,1,0.0
36199,2020-04-06,Wabash,Illinois,17185.0,1,0.0
36287,2020-04-06,Wabash,Indiana,18169.0,3,0.0
38697,2020-04-07,Wabash,Illinois,17185.0,1,0.0
38785,2020-04-07,Wabash,Indiana,18169.0,5,0.0
41243,2020-04-08,Wabash,Illinois,17185.0,1,0.0
41331,2020-04-08,Wabash,Indiana,18169.0,5,0.0
43819,2020-04-09,Wabash,Illinois,17185.0,2,0.0
43907,2020-04-09,Wabash,Indiana,18169.0,6,0.0
46423,2020-04-10,Wabash,Illinois,17185.0,2,0.0
46512,2020-04-10,Wabash,Indiana,18169.0,7,0.0
49056,2020-04-11,Wabash,Illinois,17185.0,2,0.0
49146,2020-04-11,Wabash,Indiana,18169.0,7,0.0
51718,2020-04-12,Wabash,Illinois,17185.0,2,0.0
51810,2020-04-12,Wabash,Indiana,18169.0,7,0.0
54399,2020-04-13,Wabash,Illinois,17185.0,2,0.0
54491,2020-04-13,Wabash,Indiana,18169.0,7,0.0
57092,2020-04-14,Wabash,Illinois,17185.0,2,0.0
57184,2020-04-14,Wabash,Indiana,18169.0,7,0.0
59800,2020-04-15,Wabash,Illinois,17185.0,1,0.0
59892,2020-04-15,Wabash,Indiana,18169.0,7,0.0
62521,2020-04-16,Wabash,Illinois,17185.0,1,0.0
62613,2020-04-16,Wabash,Indiana,18169.0,8,0.0
65254,2020-04-17,Wabash,Illinois,17185.0,1,0.0
65347,2020-04-17,Wabash,Indiana,18169.0,9,0.0
68003,2020-04-18,Wabash,Illinois,17185.0,1,0.0
68096,2020-04-18,Wabash,Indiana,18169.0,9,0.0
70765,2020-04-19,Wabash,Illinois,17185.0,1,0.0
70858,2020-04-19,Wabash,Indiana,18169.0,9,0.0
73535,2020-04-20,Wabash,Illinois,17185.0,1,0.0
73629,2020-04-20,Wabash,Indiana,18169.0,10,0.0
76312,2020-04-21,Wabash,Illinois,17185.0,1,0.0
76406,2020-04-21,Wabash,Indiana,18169.0,10,0.0
79096,2020-04-22,Wabash,Illinois,17185.0,1,0.0
79190,2020-04-22,Wabash,Indiana,18169.0,10,1.0
81889,2020-04-23,Wabash,Illinois,17185.0,1,0.0
81983,2020-04-23,Wabash,Indiana,18169.0,12,1.0
84689,2020-04-24,Wabash,Illinois,17185.0,1,0.0
84783,2020-04-24,Wabash,Indiana,18169.0,12,1.0
