date,county,state,fips,cases,deaths
2020-03-23,Wapello,Iowa,19179.0,1,0.0
2020-03-24,Wapello,Iowa,19179.0,1,0.0
2020-03-25,Wapello,Iowa,19179.0,1,0.0
2020-03-26,Wapello,Iowa,19179.0,1,0.0
2020-03-27,Wapello,Iowa,19179.0,1,0.0
2020-03-28,Wapello,Iowa,19179.0,1,0.0
2020-03-29,Wapello,Iowa,19179.0,1,0.0
2020-03-30,Wapello,Iowa,19179.0,1,0.0
2020-03-31,Wapello,Iowa,19179.0,1,0.0
2020-04-01,Wapello,Iowa,19179.0,1,0.0
2020-04-02,Wapello,Iowa,19179.0,1,0.0
2020-04-03,Wapello,Iowa,19179.0,1,0.0
2020-04-04,Wapello,Iowa,19179.0,1,0.0
2020-04-05,Wapello,Iowa,19179.0,1,0.0
2020-04-06,Wapello,Iowa,19179.0,2,0.0
2020-04-07,Wapello,Iowa,19179.0,2,0.0
2020-04-08,Wapello,Iowa,19179.0,2,0.0
2020-04-09,Wapello,Iowa,19179.0,2,0.0
2020-04-10,Wapello,Iowa,19179.0,3,0.0
2020-04-11,Wapello,Iowa,19179.0,4,0.0
2020-04-12,Wapello,Iowa,19179.0,4,0.0
2020-04-13,Wapello,Iowa,19179.0,6,0.0
2020-04-14,Wapello,Iowa,19179.0,7,0.0
2020-04-15,Wapello,Iowa,19179.0,7,0.0
2020-04-16,Wapello,Iowa,19179.0,6,0.0
2020-04-17,Wapello,Iowa,19179.0,6,0.0
2020-04-18,Wapello,Iowa,19179.0,7,0.0
2020-04-19,Wapello,Iowa,19179.0,7,0.0
2020-04-20,Wapello,Iowa,19179.0,7,0.0
2020-04-21,Wapello,Iowa,19179.0,7,0.0
2020-04-22,Wapello,Iowa,19179.0,7,0.0
2020-04-23,Wapello,Iowa,19179.0,7,0.0
2020-04-24,Wapello,Iowa,19179.0,8,0.0
2020-04-25,Wapello,Iowa,19179.0,8,0.0
2020-04-26,Wapello,Iowa,19179.0,10,0.0
2020-04-27,Wapello,Iowa,19179.0,10,0.0
2020-04-28,Wapello,Iowa,19179.0,10,0.0
2020-04-29,Wapello,Iowa,19179.0,10,0.0
2020-04-30,Wapello,Iowa,19179.0,10,0.0
2020-05-01,Wapello,Iowa,19179.0,17,0.0
2020-05-02,Wapello,Iowa,19179.0,27,0.0
2020-05-03,Wapello,Iowa,19179.0,61,0.0
2020-05-04,Wapello,Iowa,19179.0,94,0.0
2020-05-05,Wapello,Iowa,19179.0,108,0.0
2020-05-06,Wapello,Iowa,19179.0,125,0.0
2020-05-07,Wapello,Iowa,19179.0,165,0.0
2020-05-08,Wapello,Iowa,19179.0,192,0.0
2020-05-09,Wapello,Iowa,19179.0,212,0.0
2020-05-10,Wapello,Iowa,19179.0,218,0.0
2020-05-11,Wapello,Iowa,19179.0,259,0.0
2020-05-12,Wapello,Iowa,19179.0,283,0.0
2020-05-13,Wapello,Iowa,19179.0,306,2.0
2020-05-14,Wapello,Iowa,19179.0,328,2.0
2020-05-15,Wapello,Iowa,19179.0,350,2.0
2020-05-16,Wapello,Iowa,19179.0,360,2.0
2020-05-17,Wapello,Iowa,19179.0,379,2.0
2020-05-18,Wapello,Iowa,19179.0,396,2.0
2020-05-19,Wapello,Iowa,19179.0,405,2.0
2020-05-20,Wapello,Iowa,19179.0,420,3.0
2020-05-21,Wapello,Iowa,19179.0,450,3.0
2020-05-22,Wapello,Iowa,19179.0,462,3.0
2020-05-23,Wapello,Iowa,19179.0,462,3.0
2020-05-24,Wapello,Iowa,19179.0,511,4.0
2020-05-25,Wapello,Iowa,19179.0,514,4.0
2020-05-26,Wapello,Iowa,19179.0,517,4.0
2020-05-27,Wapello,Iowa,19179.0,540,4.0
2020-05-28,Wapello,Iowa,19179.0,548,7.0
2020-05-29,Wapello,Iowa,19179.0,556,8.0
2020-05-30,Wapello,Iowa,19179.0,577,9.0
2020-05-31,Wapello,Iowa,19179.0,595,10.0
2020-06-01,Wapello,Iowa,19179.0,600,12.0
2020-06-02,Wapello,Iowa,19179.0,610,13.0
2020-06-03,Wapello,Iowa,19179.0,615,14.0
2020-06-04,Wapello,Iowa,19179.0,630,14.0
2020-06-05,Wapello,Iowa,19179.0,640,15.0
2020-06-06,Wapello,Iowa,19179.0,641,16.0
2020-06-07,Wapello,Iowa,19179.0,648,18.0
2020-06-08,Wapello,Iowa,19179.0,654,21.0
2020-06-09,Wapello,Iowa,19179.0,658,21.0
2020-06-10,Wapello,Iowa,19179.0,660,23.0
2020-06-11,Wapello,Iowa,19179.0,668,24.0
2020-06-12,Wapello,Iowa,19179.0,672,26.0
2020-06-13,Wapello,Iowa,19179.0,674,26.0
2020-06-14,Wapello,Iowa,19179.0,675,26.0
2020-06-15,Wapello,Iowa,19179.0,675,26.0
2020-06-16,Wapello,Iowa,19179.0,677,26.0
2020-06-17,Wapello,Iowa,19179.0,679,26.0
2020-06-18,Wapello,Iowa,19179.0,681,26.0
2020-06-19,Wapello,Iowa,19179.0,681,27.0
2020-06-20,Wapello,Iowa,19179.0,682,27.0
2020-06-21,Wapello,Iowa,19179.0,689,27.0
2020-06-22,Wapello,Iowa,19179.0,689,27.0
2020-06-23,Wapello,Iowa,19179.0,689,28.0
2020-06-24,Wapello,Iowa,19179.0,692,28.0
2020-06-25,Wapello,Iowa,19179.0,692,28.0
2020-06-26,Wapello,Iowa,19179.0,694,29.0
2020-06-27,Wapello,Iowa,19179.0,694,29.0
2020-06-28,Wapello,Iowa,19179.0,696,29.0
2020-06-29,Wapello,Iowa,19179.0,699,30.0
2020-06-30,Wapello,Iowa,19179.0,700,30.0
2020-07-01,Wapello,Iowa,19179.0,701,30.0
2020-07-02,Wapello,Iowa,19179.0,702,30.0
2020-07-03,Wapello,Iowa,19179.0,705,30.0
2020-07-04,Wapello,Iowa,19179.0,707,30.0
2020-07-05,Wapello,Iowa,19179.0,708,30.0
2020-07-06,Wapello,Iowa,19179.0,708,30.0
2020-07-07,Wapello,Iowa,19179.0,708,30.0
2020-07-08,Wapello,Iowa,19179.0,712,31.0
2020-07-09,Wapello,Iowa,19179.0,712,31.0
2020-07-10,Wapello,Iowa,19179.0,714,31.0
2020-07-11,Wapello,Iowa,19179.0,714,31.0
2020-07-12,Wapello,Iowa,19179.0,715,31.0
2020-07-13,Wapello,Iowa,19179.0,716,31.0
2020-07-14,Wapello,Iowa,19179.0,715,31.0
2020-07-15,Wapello,Iowa,19179.0,717,31.0
2020-07-16,Wapello,Iowa,19179.0,726,31.0
2020-07-17,Wapello,Iowa,19179.0,726,31.0
2020-07-18,Wapello,Iowa,19179.0,731,31.0
2020-07-19,Wapello,Iowa,19179.0,738,31.0
2020-07-20,Wapello,Iowa,19179.0,746,31.0
2020-07-21,Wapello,Iowa,19179.0,757,31.0
2020-07-22,Wapello,Iowa,19179.0,769,31.0
2020-07-23,Wapello,Iowa,19179.0,773,31.0
2020-07-24,Wapello,Iowa,19179.0,777,31.0
2020-07-25,Wapello,Iowa,19179.0,781,31.0
2020-07-26,Wapello,Iowa,19179.0,788,31.0
2020-07-27,Wapello,Iowa,19179.0,796,31.0
2020-07-28,Wapello,Iowa,19179.0,808,31.0
2020-07-29,Wapello,Iowa,19179.0,812,31.0
2020-07-30,Wapello,Iowa,19179.0,821,31.0
2020-07-31,Wapello,Iowa,19179.0,827,31.0
2020-08-01,Wapello,Iowa,19179.0,829,31.0
2020-08-02,Wapello,Iowa,19179.0,845,31.0
2020-08-03,Wapello,Iowa,19179.0,849,32.0
2020-08-04,Wapello,Iowa,19179.0,850,32.0
2020-08-05,Wapello,Iowa,19179.0,866,33.0
2020-08-06,Wapello,Iowa,19179.0,872,33.0
2020-08-07,Wapello,Iowa,19179.0,876,33.0
2020-08-08,Wapello,Iowa,19179.0,880,33.0
2020-08-09,Wapello,Iowa,19179.0,900,33.0
2020-08-10,Wapello,Iowa,19179.0,904,33.0
2020-08-11,Wapello,Iowa,19179.0,905,33.0
2020-08-12,Wapello,Iowa,19179.0,927,33.0
2020-08-13,Wapello,Iowa,19179.0,936,36.0
2020-08-14,Wapello,Iowa,19179.0,943,36.0
2020-08-15,Wapello,Iowa,19179.0,947,37.0
2020-08-16,Wapello,Iowa,19179.0,955,37.0
2020-08-17,Wapello,Iowa,19179.0,959,38.0
2020-08-18,Wapello,Iowa,19179.0,968,38.0
2020-08-19,Wapello,Iowa,19179.0,970,39.0
2020-08-20,Wapello,Iowa,19179.0,982,39.0
2020-08-21,Wapello,Iowa,19179.0,991,43.0
2020-08-22,Wapello,Iowa,19179.0,1000,43.0
2020-08-23,Wapello,Iowa,19179.0,1007,43.0
2020-08-24,Wapello,Iowa,19179.0,1021,45.0
2020-08-25,Wapello,Iowa,19179.0,1030,45.0
2020-08-26,Wapello,Iowa,19179.0,1042,46.0
2020-08-27,Wapello,Iowa,19179.0,1053,48.0
2020-08-28,Wapello,Iowa,19179.0,1067,49.0
2020-08-29,Wapello,Iowa,19179.0,1071,49.0
2020-08-30,Wapello,Iowa,19179.0,1082,49.0
2020-08-31,Wapello,Iowa,19179.0,1087,50.0
2020-09-01,Wapello,Iowa,19179.0,1089,51.0
2020-09-02,Wapello,Iowa,19179.0,1096,51.0
2020-09-03,Wapello,Iowa,19179.0,1105,51.0
2020-09-04,Wapello,Iowa,19179.0,1117,54.0
2020-09-05,Wapello,Iowa,19179.0,1124,54.0
2020-09-06,Wapello,Iowa,19179.0,1128,54.0
2020-09-07,Wapello,Iowa,19179.0,1134,54.0
2020-09-08,Wapello,Iowa,19179.0,1149,55.0
2020-09-09,Wapello,Iowa,19179.0,1149,56.0
2020-09-10,Wapello,Iowa,19179.0,1162,56.0
2020-09-11,Wapello,Iowa,19179.0,1176,56.0
2020-09-12,Wapello,Iowa,19179.0,1184,56.0
2020-09-13,Wapello,Iowa,19179.0,1193,56.0
2020-09-14,Wapello,Iowa,19179.0,1199,57.0
2020-09-15,Wapello,Iowa,19179.0,1200,57.0
2020-09-16,Wapello,Iowa,19179.0,1216,57.0
2020-09-17,Wapello,Iowa,19179.0,1223,57.0
2020-09-18,Wapello,Iowa,19179.0,1243,57.0
2020-09-19,Wapello,Iowa,19179.0,1257,57.0
2020-09-20,Wapello,Iowa,19179.0,1267,57.0
2020-09-21,Wapello,Iowa,19179.0,1270,57.0
2020-09-22,Wapello,Iowa,19179.0,1281,57.0
2020-09-23,Wapello,Iowa,19179.0,1296,57.0
2020-09-24,Wapello,Iowa,19179.0,1314,57.0
2020-09-25,Wapello,Iowa,19179.0,1328,57.0
2020-09-26,Wapello,Iowa,19179.0,1333,57.0
2020-09-27,Wapello,Iowa,19179.0,1334,57.0
2020-09-28,Wapello,Iowa,19179.0,1339,57.0
2020-09-29,Wapello,Iowa,19179.0,1340,57.0
2020-09-30,Wapello,Iowa,19179.0,1346,57.0
2020-10-01,Wapello,Iowa,19179.0,1363,57.0
2020-10-02,Wapello,Iowa,19179.0,1371,57.0
2020-10-03,Wapello,Iowa,19179.0,1375,57.0
