,date,county,state,fips,cases,deaths
59136,2020-04-14,Washburn,Wisconsin,55129.0,1,0.0
61855,2020-04-15,Washburn,Wisconsin,55129.0,1,0.0
64588,2020-04-16,Washburn,Wisconsin,55129.0,1,0.0
67336,2020-04-17,Washburn,Wisconsin,55129.0,1,0.0
70098,2020-04-18,Washburn,Wisconsin,55129.0,1,0.0
72867,2020-04-19,Washburn,Wisconsin,55129.0,1,0.0
75643,2020-04-20,Washburn,Wisconsin,55129.0,1,0.0
78426,2020-04-21,Washburn,Wisconsin,55129.0,1,0.0
81219,2020-04-22,Washburn,Wisconsin,55129.0,1,0.0
84020,2020-04-23,Washburn,Wisconsin,55129.0,1,0.0
86828,2020-04-24,Washburn,Wisconsin,55129.0,1,0.0
89644,2020-04-25,Washburn,Wisconsin,55129.0,1,0.0
92462,2020-04-26,Washburn,Wisconsin,55129.0,1,0.0
95292,2020-04-27,Washburn,Wisconsin,55129.0,1,0.0
98137,2020-04-28,Washburn,Wisconsin,55129.0,1,0.0
100987,2020-04-29,Washburn,Wisconsin,55129.0,1,0.0
103842,2020-04-30,Washburn,Wisconsin,55129.0,1,0.0
106707,2020-05-01,Washburn,Wisconsin,55129.0,1,0.0
109576,2020-05-02,Washburn,Wisconsin,55129.0,1,0.0
112451,2020-05-03,Washburn,Wisconsin,55129.0,1,0.0
115334,2020-05-04,Washburn,Wisconsin,55129.0,1,0.0
118293,2020-05-05,Washburn,Wisconsin,55129.0,1,0.0
121259,2020-05-06,Washburn,Wisconsin,55129.0,1,0.0
124239,2020-05-07,Washburn,Wisconsin,55129.0,1,0.0
127224,2020-05-08,Washburn,Wisconsin,55129.0,1,0.0
130214,2020-05-09,Washburn,Wisconsin,55129.0,1,0.0
133204,2020-05-10,Washburn,Wisconsin,55129.0,1,0.0
136194,2020-05-11,Washburn,Wisconsin,55129.0,1,0.0
139185,2020-05-12,Washburn,Wisconsin,55129.0,1,0.0
142181,2020-05-13,Washburn,Wisconsin,55129.0,1,0.0
145180,2020-05-14,Washburn,Wisconsin,55129.0,1,0.0
148183,2020-05-15,Washburn,Wisconsin,55129.0,1,0.0
151192,2020-05-16,Washburn,Wisconsin,55129.0,1,0.0
154204,2020-05-17,Washburn,Wisconsin,55129.0,1,0.0
157220,2020-05-18,Washburn,Wisconsin,55129.0,1,0.0
160244,2020-05-19,Washburn,Wisconsin,55129.0,1,0.0
163272,2020-05-20,Washburn,Wisconsin,55129.0,1,0.0
166303,2020-05-21,Washburn,Wisconsin,55129.0,2,0.0
169339,2020-05-22,Washburn,Wisconsin,55129.0,2,0.0
172380,2020-05-23,Washburn,Wisconsin,55129.0,2,0.0
175423,2020-05-24,Washburn,Wisconsin,55129.0,2,0.0
178468,2020-05-25,Washburn,Wisconsin,55129.0,2,0.0
181512,2020-05-26,Washburn,Wisconsin,55129.0,2,0.0
184563,2020-05-27,Washburn,Wisconsin,55129.0,2,0.0
187620,2020-05-28,Washburn,Wisconsin,55129.0,2,0.0
190684,2020-05-29,Washburn,Wisconsin,55129.0,2,0.0
193750,2020-05-30,Washburn,Wisconsin,55129.0,2,0.0
196820,2020-05-31,Washburn,Wisconsin,55129.0,2,0.0
199893,2020-06-01,Washburn,Wisconsin,55129.0,2,0.0
202969,2020-06-02,Washburn,Wisconsin,55129.0,2,0.0
206048,2020-06-03,Washburn,Wisconsin,55129.0,2,0.0
209130,2020-06-04,Washburn,Wisconsin,55129.0,2,0.0
212215,2020-06-05,Washburn,Wisconsin,55129.0,2,0.0
215302,2020-06-06,Washburn,Wisconsin,55129.0,3,0.0
218392,2020-06-07,Washburn,Wisconsin,55129.0,3,0.0
