date,county,state,fips,cases,deaths
2020-03-17,Whitfield,Georgia,13313.0,1,0.0
2020-03-18,Whitfield,Georgia,13313.0,1,0.0
2020-03-19,Whitfield,Georgia,13313.0,1,0.0
2020-03-20,Whitfield,Georgia,13313.0,1,0.0
2020-03-21,Whitfield,Georgia,13313.0,1,0.0
2020-03-22,Whitfield,Georgia,13313.0,2,0.0
2020-03-23,Whitfield,Georgia,13313.0,2,0.0
2020-03-24,Whitfield,Georgia,13313.0,2,0.0
2020-03-25,Whitfield,Georgia,13313.0,4,0.0
2020-03-26,Whitfield,Georgia,13313.0,6,0.0
2020-03-27,Whitfield,Georgia,13313.0,6,0.0
2020-03-28,Whitfield,Georgia,13313.0,6,0.0
2020-03-29,Whitfield,Georgia,13313.0,8,2.0
2020-03-30,Whitfield,Georgia,13313.0,8,1.0
2020-03-31,Whitfield,Georgia,13313.0,10,1.0
2020-04-01,Whitfield,Georgia,13313.0,14,1.0
2020-04-02,Whitfield,Georgia,13313.0,14,1.0
2020-04-03,Whitfield,Georgia,13313.0,15,1.0
2020-04-04,Whitfield,Georgia,13313.0,16,1.0
2020-04-05,Whitfield,Georgia,13313.0,16,1.0
2020-04-06,Whitfield,Georgia,13313.0,18,1.0
2020-04-07,Whitfield,Georgia,13313.0,21,2.0
2020-04-08,Whitfield,Georgia,13313.0,19,3.0
2020-04-09,Whitfield,Georgia,13313.0,21,3.0
2020-04-10,Whitfield,Georgia,13313.0,24,3.0
2020-04-11,Whitfield,Georgia,13313.0,24,3.0
2020-04-12,Whitfield,Georgia,13313.0,24,3.0
2020-04-13,Whitfield,Georgia,13313.0,28,3.0
2020-04-14,Whitfield,Georgia,13313.0,29,3.0
2020-04-15,Whitfield,Georgia,13313.0,32,3.0
2020-04-16,Whitfield,Georgia,13313.0,34,3.0
2020-04-17,Whitfield,Georgia,13313.0,41,3.0
2020-04-18,Whitfield,Georgia,13313.0,43,3.0
2020-04-19,Whitfield,Georgia,13313.0,43,3.0
2020-04-20,Whitfield,Georgia,13313.0,45,4.0
2020-04-21,Whitfield,Georgia,13313.0,46,4.0
2020-04-22,Whitfield,Georgia,13313.0,53,4.0
2020-04-23,Whitfield,Georgia,13313.0,59,4.0
2020-04-24,Whitfield,Georgia,13313.0,62,4.0
2020-04-25,Whitfield,Georgia,13313.0,63,4.0
2020-04-26,Whitfield,Georgia,13313.0,63,4.0
2020-04-27,Whitfield,Georgia,13313.0,69,4.0
2020-04-28,Whitfield,Georgia,13313.0,75,4.0
2020-04-29,Whitfield,Georgia,13313.0,79,4.0
2020-04-30,Whitfield,Georgia,13313.0,106,4.0
2020-05-01,Whitfield,Georgia,13313.0,111,4.0
2020-05-02,Whitfield,Georgia,13313.0,118,4.0
2020-05-03,Whitfield,Georgia,13313.0,120,5.0
2020-05-04,Whitfield,Georgia,13313.0,126,6.0
2020-05-05,Whitfield,Georgia,13313.0,131,6.0
2020-05-06,Whitfield,Georgia,13313.0,135,6.0
2020-05-07,Whitfield,Georgia,13313.0,141,6.0
2020-05-08,Whitfield,Georgia,13313.0,140,6.0
2020-05-09,Whitfield,Georgia,13313.0,149,6.0
2020-05-10,Whitfield,Georgia,13313.0,154,6.0
2020-05-11,Whitfield,Georgia,13313.0,157,6.0
2020-05-12,Whitfield,Georgia,13313.0,171,6.0
2020-05-13,Whitfield,Georgia,13313.0,173,6.0
