date,county,state,fips,cases,deaths
2020-07-14,Wibaux,Montana,30109.0,1,0.0
2020-07-15,Wibaux,Montana,30109.0,1,0.0
2020-07-16,Wibaux,Montana,30109.0,1,0.0
2020-07-17,Wibaux,Montana,30109.0,1,0.0
2020-07-18,Wibaux,Montana,30109.0,1,0.0
2020-07-19,Wibaux,Montana,30109.0,1,0.0
2020-07-20,Wibaux,Montana,30109.0,1,0.0
2020-07-21,Wibaux,Montana,30109.0,1,0.0
2020-07-22,Wibaux,Montana,30109.0,1,0.0
2020-07-23,Wibaux,Montana,30109.0,1,0.0
2020-07-24,Wibaux,Montana,30109.0,1,0.0
2020-07-25,Wibaux,Montana,30109.0,1,0.0
2020-07-26,Wibaux,Montana,30109.0,1,0.0
2020-07-27,Wibaux,Montana,30109.0,1,0.0
2020-07-28,Wibaux,Montana,30109.0,1,0.0
2020-07-29,Wibaux,Montana,30109.0,1,0.0
2020-07-30,Wibaux,Montana,30109.0,1,0.0
2020-07-31,Wibaux,Montana,30109.0,1,0.0
2020-08-01,Wibaux,Montana,30109.0,3,0.0
2020-08-02,Wibaux,Montana,30109.0,3,0.0
2020-08-03,Wibaux,Montana,30109.0,3,0.0
2020-08-04,Wibaux,Montana,30109.0,3,0.0
2020-08-05,Wibaux,Montana,30109.0,3,0.0
2020-08-06,Wibaux,Montana,30109.0,3,0.0
2020-08-07,Wibaux,Montana,30109.0,3,0.0
2020-08-08,Wibaux,Montana,30109.0,3,0.0
2020-08-09,Wibaux,Montana,30109.0,3,0.0
2020-08-10,Wibaux,Montana,30109.0,3,0.0
2020-08-11,Wibaux,Montana,30109.0,3,0.0
2020-08-12,Wibaux,Montana,30109.0,3,0.0
2020-08-13,Wibaux,Montana,30109.0,3,0.0
2020-08-14,Wibaux,Montana,30109.0,3,0.0
2020-08-15,Wibaux,Montana,30109.0,3,0.0
2020-08-16,Wibaux,Montana,30109.0,3,0.0
2020-08-17,Wibaux,Montana,30109.0,3,0.0
2020-08-18,Wibaux,Montana,30109.0,3,0.0
2020-08-19,Wibaux,Montana,30109.0,4,0.0
2020-08-20,Wibaux,Montana,30109.0,4,0.0
