,date,county,state,fips,cases,deaths
13139,2020-03-26,Wilkin,Minnesota,27167.0,1,0.0
14855,2020-03-27,Wilkin,Minnesota,27167.0,1,0.0
16676,2020-03-28,Wilkin,Minnesota,27167.0,1,0.0
18596,2020-03-29,Wilkin,Minnesota,27167.0,1,0.0
20619,2020-03-30,Wilkin,Minnesota,27167.0,1,0.0
22736,2020-03-31,Wilkin,Minnesota,27167.0,1,0.0
24918,2020-04-01,Wilkin,Minnesota,27167.0,1,0.0
27172,2020-04-02,Wilkin,Minnesota,27167.0,1,0.0
29491,2020-04-03,Wilkin,Minnesota,27167.0,2,0.0
31871,2020-04-04,Wilkin,Minnesota,27167.0,2,0.0
34298,2020-04-05,Wilkin,Minnesota,27167.0,2,0.0
36760,2020-04-06,Wilkin,Minnesota,27167.0,2,0.0
39271,2020-04-07,Wilkin,Minnesota,27167.0,2,0.0
41825,2020-04-08,Wilkin,Minnesota,27167.0,2,1.0
44401,2020-04-09,Wilkin,Minnesota,27167.0,5,1.0
47010,2020-04-10,Wilkin,Minnesota,27167.0,6,1.0
49656,2020-04-11,Wilkin,Minnesota,27167.0,7,1.0
52329,2020-04-12,Wilkin,Minnesota,27167.0,7,1.0
55011,2020-04-13,Wilkin,Minnesota,27167.0,7,1.0
57709,2020-04-14,Wilkin,Minnesota,27167.0,7,2.0
60420,2020-04-15,Wilkin,Minnesota,27167.0,7,2.0
63142,2020-04-16,Wilkin,Minnesota,27167.0,7,2.0
65882,2020-04-17,Wilkin,Minnesota,27167.0,7,2.0
68634,2020-04-18,Wilkin,Minnesota,27167.0,8,2.0
71400,2020-04-19,Wilkin,Minnesota,27167.0,9,2.0
74173,2020-04-20,Wilkin,Minnesota,27167.0,9,2.0
76954,2020-04-21,Wilkin,Minnesota,27167.0,9,2.0
79739,2020-04-22,Wilkin,Minnesota,27167.0,10,2.0
82535,2020-04-23,Wilkin,Minnesota,27167.0,11,2.0
85339,2020-04-24,Wilkin,Minnesota,27167.0,11,2.0
88149,2020-04-25,Wilkin,Minnesota,27167.0,11,3.0
90965,2020-04-26,Wilkin,Minnesota,27167.0,11,3.0
93786,2020-04-27,Wilkin,Minnesota,27167.0,11,3.0
96622,2020-04-28,Wilkin,Minnesota,27167.0,12,3.0
99468,2020-04-29,Wilkin,Minnesota,27167.0,12,3.0
102320,2020-04-30,Wilkin,Minnesota,27167.0,12,3.0
105181,2020-05-01,Wilkin,Minnesota,27167.0,12,3.0
108046,2020-05-02,Wilkin,Minnesota,27167.0,12,3.0
110917,2020-05-03,Wilkin,Minnesota,27167.0,12,3.0
113796,2020-05-04,Wilkin,Minnesota,27167.0,12,3.0
116678,2020-05-05,Wilkin,Minnesota,27167.0,12,3.0
119638,2020-05-06,Wilkin,Minnesota,27167.0,12,3.0
