,date,county,state,fips,cases,deaths
3719,2020-03-17,Williamsburg city,Virginia,51830.0,1,0.0
4353,2020-03-18,Williamsburg city,Virginia,51830.0,1,0.0
5109,2020-03-19,Williamsburg city,Virginia,51830.0,1,0.0
6010,2020-03-20,Williamsburg city,Virginia,51830.0,4,0.0
7041,2020-03-21,Williamsburg city,Virginia,51830.0,4,0.0
8178,2020-03-22,Williamsburg city,Virginia,51830.0,5,1.0
9401,2020-03-23,Williamsburg city,Virginia,51830.0,5,1.0
10750,2020-03-24,Williamsburg city,Virginia,51830.0,5,1.0
12272,2020-03-25,Williamsburg city,Virginia,51830.0,5,1.0
13922,2020-03-26,Williamsburg city,Virginia,51830.0,5,1.0
15690,2020-03-27,Williamsburg city,Virginia,51830.0,5,1.0
17570,2020-03-28,Williamsburg city,Virginia,51830.0,6,1.0
19533,2020-03-29,Williamsburg city,Virginia,51830.0,7,1.0
21600,2020-03-30,Williamsburg city,Virginia,51830.0,7,1.0
23749,2020-03-31,Williamsburg city,Virginia,51830.0,8,1.0
25967,2020-04-01,Williamsburg city,Virginia,51830.0,9,1.0
28257,2020-04-02,Williamsburg city,Virginia,51830.0,9,1.0
30608,2020-04-03,Williamsburg city,Virginia,51830.0,9,1.0
33008,2020-04-04,Williamsburg city,Virginia,51830.0,10,1.0
35446,2020-04-05,Williamsburg city,Virginia,51830.0,12,1.0
37930,2020-04-06,Williamsburg city,Virginia,51830.0,13,1.0
40465,2020-04-07,Williamsburg city,Virginia,51830.0,14,1.0
43034,2020-04-08,Williamsburg city,Virginia,51830.0,16,1.0
45630,2020-04-09,Williamsburg city,Virginia,51830.0,16,1.0
48257,2020-04-10,Williamsburg city,Virginia,51830.0,17,1.0
50915,2020-04-11,Williamsburg city,Virginia,51830.0,17,1.0
53590,2020-04-12,Williamsburg city,Virginia,51830.0,17,1.0
56280,2020-04-13,Williamsburg city,Virginia,51830.0,20,1.0
58986,2020-04-14,Williamsburg city,Virginia,51830.0,20,1.0
61705,2020-04-15,Williamsburg city,Virginia,51830.0,19,1.0
64438,2020-04-16,Williamsburg city,Virginia,51830.0,19,1.0
67186,2020-04-17,Williamsburg city,Virginia,51830.0,19,1.0
69948,2020-04-18,Williamsburg city,Virginia,51830.0,19,1.0
72718,2020-04-19,Williamsburg city,Virginia,51830.0,19,1.0
75494,2020-04-20,Williamsburg city,Virginia,51830.0,19,1.0
78277,2020-04-21,Williamsburg city,Virginia,51830.0,15,1.0
81070,2020-04-22,Williamsburg city,Virginia,51830.0,14,1.0
83871,2020-04-23,Williamsburg city,Virginia,51830.0,15,1.0
86678,2020-04-24,Williamsburg city,Virginia,51830.0,15,1.0
89493,2020-04-25,Williamsburg city,Virginia,51830.0,15,1.0
92310,2020-04-26,Williamsburg city,Virginia,51830.0,15,1.0
95139,2020-04-27,Williamsburg city,Virginia,51830.0,15,1.0
97984,2020-04-28,Williamsburg city,Virginia,51830.0,18,1.0
100834,2020-04-29,Williamsburg city,Virginia,51830.0,18,1.0
103689,2020-04-30,Williamsburg city,Virginia,51830.0,18,1.0
106553,2020-05-01,Williamsburg city,Virginia,51830.0,20,1.0
109422,2020-05-02,Williamsburg city,Virginia,51830.0,21,2.0
112296,2020-05-03,Williamsburg city,Virginia,51830.0,22,2.0
115179,2020-05-04,Williamsburg city,Virginia,51830.0,23,2.0
118138,2020-05-05,Williamsburg city,Virginia,51830.0,27,2.0
121102,2020-05-06,Williamsburg city,Virginia,51830.0,27,2.0
124082,2020-05-07,Williamsburg city,Virginia,51830.0,29,2.0
127067,2020-05-08,Williamsburg city,Virginia,51830.0,31,2.0
130057,2020-05-09,Williamsburg city,Virginia,51830.0,31,2.0
133047,2020-05-10,Williamsburg city,Virginia,51830.0,39,2.0
136037,2020-05-11,Williamsburg city,Virginia,51830.0,42,3.0
139028,2020-05-12,Williamsburg city,Virginia,51830.0,42,3.0
142024,2020-05-13,Williamsburg city,Virginia,51830.0,42,3.0
145021,2020-05-14,Williamsburg city,Virginia,51830.0,42,3.0
148024,2020-05-15,Williamsburg city,Virginia,51830.0,42,3.0
151033,2020-05-16,Williamsburg city,Virginia,51830.0,43,3.0
154044,2020-05-17,Williamsburg city,Virginia,51830.0,43,3.0
157061,2020-05-18,Williamsburg city,Virginia,51830.0,43,3.0
160085,2020-05-19,Williamsburg city,Virginia,51830.0,43,3.0
163113,2020-05-20,Williamsburg city,Virginia,51830.0,43,3.0
166142,2020-05-21,Williamsburg city,Virginia,51830.0,43,3.0
169178,2020-05-22,Williamsburg city,Virginia,51830.0,43,3.0
172219,2020-05-23,Williamsburg city,Virginia,51830.0,43,3.0
175262,2020-05-24,Williamsburg city,Virginia,51830.0,43,3.0
178307,2020-05-25,Williamsburg city,Virginia,51830.0,43,3.0
181351,2020-05-26,Williamsburg city,Virginia,51830.0,43,3.0
184402,2020-05-27,Williamsburg city,Virginia,51830.0,43,3.0
187459,2020-05-28,Williamsburg city,Virginia,51830.0,44,4.0
190523,2020-05-29,Williamsburg city,Virginia,51830.0,44,4.0
193589,2020-05-30,Williamsburg city,Virginia,51830.0,44,4.0
196659,2020-05-31,Williamsburg city,Virginia,51830.0,44,4.0
199732,2020-06-01,Williamsburg city,Virginia,51830.0,44,4.0
202808,2020-06-02,Williamsburg city,Virginia,51830.0,44,4.0
205887,2020-06-03,Williamsburg city,Virginia,51830.0,45,4.0
208969,2020-06-04,Williamsburg city,Virginia,51830.0,45,5.0
212054,2020-06-05,Williamsburg city,Virginia,51830.0,45,5.0
