date,county,state,fips,cases,deaths
2020-03-14,Woodford,Illinois,17203.0,1,0.0
2020-03-15,Woodford,Illinois,17203.0,1,0.0
2020-03-16,Woodford,Illinois,17203.0,1,0.0
2020-03-17,Woodford,Illinois,17203.0,1,0.0
2020-03-18,Woodford,Illinois,17203.0,2,0.0
2020-03-19,Woodford,Illinois,17203.0,2,0.0
2020-03-20,Woodford,Illinois,17203.0,2,0.0
2020-03-21,Woodford,Illinois,17203.0,2,0.0
2020-03-22,Woodford,Illinois,17203.0,2,0.0
2020-03-23,Woodford,Illinois,17203.0,2,0.0
2020-03-24,Woodford,Illinois,17203.0,3,0.0
2020-03-25,Woodford,Illinois,17203.0,3,0.0
2020-03-26,Woodford,Illinois,17203.0,3,0.0
2020-03-27,Woodford,Illinois,17203.0,3,0.0
2020-03-27,Woodford,Kentucky,21239.0,3,0.0
2020-03-28,Woodford,Illinois,17203.0,3,0.0
2020-03-28,Woodford,Kentucky,21239.0,3,0.0
2020-03-29,Woodford,Illinois,17203.0,3,0.0
2020-03-29,Woodford,Kentucky,21239.0,3,0.0
2020-03-30,Woodford,Illinois,17203.0,3,0.0
2020-03-30,Woodford,Kentucky,21239.0,5,0.0
2020-03-31,Woodford,Illinois,17203.0,3,0.0
2020-03-31,Woodford,Kentucky,21239.0,6,0.0
2020-04-01,Woodford,Illinois,17203.0,3,0.0
2020-04-01,Woodford,Kentucky,21239.0,6,0.0
2020-04-02,Woodford,Illinois,17203.0,3,0.0
2020-04-02,Woodford,Kentucky,21239.0,7,0.0
2020-04-03,Woodford,Illinois,17203.0,4,0.0
2020-04-03,Woodford,Kentucky,21239.0,7,0.0
2020-04-04,Woodford,Illinois,17203.0,6,0.0
2020-04-04,Woodford,Kentucky,21239.0,8,0.0
2020-04-05,Woodford,Illinois,17203.0,6,0.0
2020-04-05,Woodford,Kentucky,21239.0,8,0.0
2020-04-06,Woodford,Illinois,17203.0,6,0.0
2020-04-06,Woodford,Kentucky,21239.0,8,0.0
2020-04-07,Woodford,Illinois,17203.0,7,0.0
2020-04-07,Woodford,Kentucky,21239.0,8,0.0
2020-04-08,Woodford,Illinois,17203.0,7,0.0
2020-04-08,Woodford,Kentucky,21239.0,9,0.0
2020-04-09,Woodford,Illinois,17203.0,7,0.0
2020-04-09,Woodford,Kentucky,21239.0,13,0.0
2020-04-10,Woodford,Illinois,17203.0,7,0.0
2020-04-10,Woodford,Kentucky,21239.0,13,0.0
2020-04-11,Woodford,Illinois,17203.0,7,0.0
2020-04-11,Woodford,Kentucky,21239.0,17,0.0
2020-04-12,Woodford,Illinois,17203.0,7,0.0
2020-04-12,Woodford,Kentucky,21239.0,14,0.0
2020-04-13,Woodford,Illinois,17203.0,9,0.0
2020-04-13,Woodford,Kentucky,21239.0,16,0.0
2020-04-14,Woodford,Illinois,17203.0,10,0.0
2020-04-14,Woodford,Kentucky,21239.0,16,0.0
2020-04-15,Woodford,Illinois,17203.0,11,0.0
2020-04-15,Woodford,Kentucky,21239.0,17,0.0
2020-04-16,Woodford,Illinois,17203.0,11,0.0
2020-04-16,Woodford,Kentucky,21239.0,20,0.0
2020-04-17,Woodford,Illinois,17203.0,11,0.0
2020-04-17,Woodford,Kentucky,21239.0,18,0.0
2020-04-18,Woodford,Illinois,17203.0,11,0.0
2020-04-18,Woodford,Kentucky,21239.0,19,0.0
2020-04-19,Woodford,Illinois,17203.0,11,0.0
2020-04-19,Woodford,Kentucky,21239.0,19,0.0
2020-04-20,Woodford,Illinois,17203.0,11,0.0
2020-04-20,Woodford,Kentucky,21239.0,19,0.0
2020-04-21,Woodford,Illinois,17203.0,11,1.0
2020-04-21,Woodford,Kentucky,21239.0,18,0.0
