,date,county,state,fips,cases,deaths
13515,2020-03-26,Wyandot,Ohio,39175.0,1,0.0
15254,2020-03-27,Wyandot,Ohio,39175.0,1,0.0
17099,2020-03-28,Wyandot,Ohio,39175.0,1,0.0
19033,2020-03-29,Wyandot,Ohio,39175.0,1,0.0
21080,2020-03-30,Wyandot,Ohio,39175.0,1,0.0
23213,2020-03-31,Wyandot,Ohio,39175.0,2,0.0
25409,2020-04-01,Wyandot,Ohio,39175.0,2,0.0
27678,2020-04-02,Wyandot,Ohio,39175.0,2,0.0
30007,2020-04-03,Wyandot,Ohio,39175.0,2,0.0
32396,2020-04-04,Wyandot,Ohio,39175.0,5,0.0
34830,2020-04-05,Wyandot,Ohio,39175.0,5,0.0
37303,2020-04-06,Wyandot,Ohio,39175.0,5,0.0
39821,2020-04-07,Wyandot,Ohio,39175.0,5,0.0
42381,2020-04-08,Wyandot,Ohio,39175.0,5,0.0
44967,2020-04-09,Wyandot,Ohio,39175.0,8,1.0
47582,2020-04-10,Wyandot,Ohio,39175.0,9,1.0
50238,2020-04-11,Wyandot,Ohio,39175.0,10,2.0
52911,2020-04-12,Wyandot,Ohio,39175.0,11,2.0
55595,2020-04-13,Wyandot,Ohio,39175.0,12,2.0
58296,2020-04-14,Wyandot,Ohio,39175.0,13,2.0
61011,2020-04-15,Wyandot,Ohio,39175.0,14,2.0
63737,2020-04-16,Wyandot,Ohio,39175.0,14,2.0
66480,2020-04-17,Wyandot,Ohio,39175.0,16,2.0
69237,2020-04-18,Wyandot,Ohio,39175.0,17,2.0
72004,2020-04-19,Wyandot,Ohio,39175.0,17,2.0
74779,2020-04-20,Wyandot,Ohio,39175.0,17,2.0
77560,2020-04-21,Wyandot,Ohio,39175.0,20,2.0
80350,2020-04-22,Wyandot,Ohio,39175.0,21,2.0
83149,2020-04-23,Wyandot,Ohio,39175.0,21,2.0
85953,2020-04-24,Wyandot,Ohio,39175.0,24,2.0
88767,2020-04-25,Wyandot,Ohio,39175.0,24,2.0
91583,2020-04-26,Wyandot,Ohio,39175.0,24,2.0
94409,2020-04-27,Wyandot,Ohio,39175.0,24,2.0
97247,2020-04-28,Wyandot,Ohio,39175.0,24,2.0
100096,2020-04-29,Wyandot,Ohio,39175.0,25,2.0
102949,2020-04-30,Wyandot,Ohio,39175.0,24,2.0
105812,2020-05-01,Wyandot,Ohio,39175.0,24,2.0
108679,2020-05-02,Wyandot,Ohio,39175.0,24,2.0
111553,2020-05-03,Wyandot,Ohio,39175.0,24,2.0
114434,2020-05-04,Wyandot,Ohio,39175.0,24,2.0
117315,2020-05-05,Wyandot,Ohio,39175.0,24,2.0
120276,2020-05-06,Wyandot,Ohio,39175.0,24,2.0
123253,2020-05-07,Wyandot,Ohio,39175.0,25,2.0
126236,2020-05-08,Wyandot,Ohio,39175.0,26,2.0
129225,2020-05-09,Wyandot,Ohio,39175.0,27,2.0
132214,2020-05-10,Wyandot,Ohio,39175.0,27,2.0
135205,2020-05-11,Wyandot,Ohio,39175.0,27,2.0
138195,2020-05-12,Wyandot,Ohio,39175.0,27,2.0
141191,2020-05-13,Wyandot,Ohio,39175.0,27,2.0
144186,2020-05-14,Wyandot,Ohio,39175.0,27,2.0
147187,2020-05-15,Wyandot,Ohio,39175.0,29,2.0
150194,2020-05-16,Wyandot,Ohio,39175.0,29,2.0
153205,2020-05-17,Wyandot,Ohio,39175.0,29,2.0
156222,2020-05-18,Wyandot,Ohio,39175.0,30,2.0
159242,2020-05-19,Wyandot,Ohio,39175.0,31,2.0
162269,2020-05-20,Wyandot,Ohio,39175.0,33,2.0
165298,2020-05-21,Wyandot,Ohio,39175.0,33,2.0
168334,2020-05-22,Wyandot,Ohio,39175.0,33,2.0
171373,2020-05-23,Wyandot,Ohio,39175.0,36,2.0
174415,2020-05-24,Wyandot,Ohio,39175.0,36,2.0
177459,2020-05-25,Wyandot,Ohio,39175.0,36,2.0
180502,2020-05-26,Wyandot,Ohio,39175.0,36,2.0
183551,2020-05-27,Wyandot,Ohio,39175.0,37,2.0
186608,2020-05-28,Wyandot,Ohio,39175.0,38,2.0
189668,2020-05-29,Wyandot,Ohio,39175.0,39,2.0
192733,2020-05-30,Wyandot,Ohio,39175.0,40,2.0
195802,2020-05-31,Wyandot,Ohio,39175.0,41,2.0
198875,2020-06-01,Wyandot,Ohio,39175.0,42,2.0
201950,2020-06-02,Wyandot,Ohio,39175.0,45,2.0
205027,2020-06-03,Wyandot,Ohio,39175.0,44,2.0
208108,2020-06-04,Wyandot,Ohio,39175.0,48,2.0
211190,2020-06-05,Wyandot,Ohio,39175.0,48,2.0
214276,2020-06-06,Wyandot,Ohio,39175.0,48,2.0
217366,2020-06-07,Wyandot,Ohio,39175.0,48,2.0
220458,2020-06-08,Wyandot,Ohio,39175.0,48,2.0
223553,2020-06-09,Wyandot,Ohio,39175.0,48,2.0
226653,2020-06-10,Wyandot,Ohio,39175.0,48,2.0
229757,2020-06-11,Wyandot,Ohio,39175.0,49,2.0
232862,2020-06-12,Wyandot,Ohio,39175.0,48,4.0
235967,2020-06-13,Wyandot,Ohio,39175.0,48,4.0
239075,2020-06-14,Wyandot,Ohio,39175.0,48,4.0
242184,2020-06-15,Wyandot,Ohio,39175.0,48,4.0
245296,2020-06-16,Wyandot,Ohio,39175.0,49,4.0
248409,2020-06-17,Wyandot,Ohio,39175.0,50,4.0
251524,2020-06-18,Wyandot,Ohio,39175.0,50,4.0
254639,2020-06-19,Wyandot,Ohio,39175.0,55,4.0
257765,2020-06-20,Wyandot,Ohio,39175.0,55,4.0
260891,2020-06-21,Wyandot,Ohio,39175.0,55,4.0
264019,2020-06-22,Wyandot,Ohio,39175.0,55,4.0
267147,2020-06-23,Wyandot,Ohio,39175.0,55,4.0
270281,2020-06-24,Wyandot,Ohio,39175.0,55,4.0
273420,2020-06-25,Wyandot,Ohio,39175.0,55,4.0
276567,2020-06-26,Wyandot,Ohio,39175.0,57,4.0
279715,2020-06-27,Wyandot,Ohio,39175.0,57,4.0
282861,2020-06-28,Wyandot,Ohio,39175.0,57,4.0
286006,2020-06-29,Wyandot,Ohio,39175.0,57,4.0
289156,2020-06-30,Wyandot,Ohio,39175.0,58,4.0
292308,2020-07-01,Wyandot,Ohio,39175.0,58,4.0
295464,2020-07-02,Wyandot,Ohio,39175.0,58,4.0
298623,2020-07-03,Wyandot,Ohio,39175.0,58,5.0
301786,2020-07-04,Wyandot,Ohio,39175.0,58,6.0
304949,2020-07-05,Wyandot,Ohio,39175.0,58,6.0
308116,2020-07-06,Wyandot,Ohio,39175.0,59,6.0
311285,2020-07-07,Wyandot,Ohio,39175.0,59,5.0
314457,2020-07-08,Wyandot,Ohio,39175.0,60,5.0
317630,2020-07-09,Wyandot,Ohio,39175.0,61,5.0
320807,2020-07-10,Wyandot,Ohio,39175.0,62,5.0
323987,2020-07-11,Wyandot,Ohio,39175.0,63,5.0
327172,2020-07-12,Wyandot,Ohio,39175.0,63,5.0
330359,2020-07-13,Wyandot,Ohio,39175.0,66,5.0
333551,2020-07-14,Wyandot,Ohio,39175.0,66,5.0
336745,2020-07-15,Wyandot,Ohio,39175.0,68,5.0
339941,2020-07-16,Wyandot,Ohio,39175.0,70,5.0
343139,2020-07-17,Wyandot,Ohio,39175.0,72,5.0
346339,2020-07-18,Wyandot,Ohio,39175.0,72,5.0
349539,2020-07-19,Wyandot,Ohio,39175.0,72,5.0
352742,2020-07-20,Wyandot,Ohio,39175.0,72,5.0
355945,2020-07-21,Wyandot,Ohio,39175.0,73,5.0
359149,2020-07-22,Wyandot,Ohio,39175.0,74,5.0
