,date,county,state,fips,cases,deaths
2627,2020-03-15,Yamhill,Oregon,41071.0,1,0.0
3092,2020-03-16,Yamhill,Oregon,41071.0,1,0.0
3621,2020-03-17,Yamhill,Oregon,41071.0,1,0.0
4236,2020-03-18,Yamhill,Oregon,41071.0,2,0.0
4975,2020-03-19,Yamhill,Oregon,41071.0,2,0.0
5844,2020-03-20,Yamhill,Oregon,41071.0,4,0.0
6846,2020-03-21,Yamhill,Oregon,41071.0,4,0.0
7961,2020-03-22,Yamhill,Oregon,41071.0,6,0.0
9171,2020-03-23,Yamhill,Oregon,41071.0,6,0.0
10490,2020-03-24,Yamhill,Oregon,41071.0,6,0.0
11952,2020-03-25,Yamhill,Oregon,41071.0,7,0.0
13570,2020-03-26,Yamhill,Oregon,41071.0,7,0.0
15316,2020-03-27,Yamhill,Oregon,41071.0,11,0.0
17163,2020-03-28,Yamhill,Oregon,41071.0,13,1.0
19101,2020-03-29,Yamhill,Oregon,41071.0,13,1.0
21151,2020-03-30,Yamhill,Oregon,41071.0,14,2.0
23286,2020-03-31,Yamhill,Oregon,41071.0,16,3.0
25484,2020-04-01,Yamhill,Oregon,41071.0,17,3.0
27756,2020-04-02,Yamhill,Oregon,41071.0,18,3.0
30089,2020-04-03,Yamhill,Oregon,41071.0,23,3.0
32479,2020-04-04,Yamhill,Oregon,41071.0,23,3.0
34914,2020-04-05,Yamhill,Oregon,41071.0,26,3.0
37389,2020-04-06,Yamhill,Oregon,41071.0,25,3.0
39910,2020-04-07,Yamhill,Oregon,41071.0,25,3.0
42470,2020-04-08,Yamhill,Oregon,41071.0,25,5.0
45056,2020-04-09,Yamhill,Oregon,41071.0,29,5.0
47673,2020-04-10,Yamhill,Oregon,41071.0,28,5.0
50330,2020-04-11,Yamhill,Oregon,41071.0,30,6.0
53003,2020-04-12,Yamhill,Oregon,41071.0,30,6.0
55688,2020-04-13,Yamhill,Oregon,41071.0,30,6.0
58391,2020-04-14,Yamhill,Oregon,41071.0,32,6.0
61106,2020-04-15,Yamhill,Oregon,41071.0,32,6.0
63832,2020-04-16,Yamhill,Oregon,41071.0,33,6.0
66578,2020-04-17,Yamhill,Oregon,41071.0,35,6.0
69336,2020-04-18,Yamhill,Oregon,41071.0,34,6.0
72103,2020-04-19,Yamhill,Oregon,41071.0,34,6.0
74878,2020-04-20,Yamhill,Oregon,41071.0,35,6.0
77660,2020-04-21,Yamhill,Oregon,41071.0,34,6.0
80450,2020-04-22,Yamhill,Oregon,41071.0,35,6.0
83249,2020-04-23,Yamhill,Oregon,41071.0,35,6.0
86053,2020-04-24,Yamhill,Oregon,41071.0,35,6.0
88867,2020-04-25,Yamhill,Oregon,41071.0,35,6.0
91683,2020-04-26,Yamhill,Oregon,41071.0,36,6.0
94510,2020-04-27,Yamhill,Oregon,41071.0,37,6.0
97349,2020-04-28,Yamhill,Oregon,41071.0,38,7.0
100198,2020-04-29,Yamhill,Oregon,41071.0,39,7.0
103051,2020-04-30,Yamhill,Oregon,41071.0,39,7.0
105914,2020-05-01,Yamhill,Oregon,41071.0,39,7.0
108781,2020-05-02,Yamhill,Oregon,41071.0,39,7.0
111655,2020-05-03,Yamhill,Oregon,41071.0,39,7.0
114537,2020-05-04,Yamhill,Oregon,41071.0,40,7.0
117418,2020-05-05,Yamhill,Oregon,41071.0,41,7.0
120380,2020-05-06,Yamhill,Oregon,41071.0,42,7.0
123357,2020-05-07,Yamhill,Oregon,41071.0,45,7.0
126340,2020-05-08,Yamhill,Oregon,41071.0,45,7.0
129329,2020-05-09,Yamhill,Oregon,41071.0,47,7.0
132318,2020-05-10,Yamhill,Oregon,41071.0,49,7.0
135309,2020-05-11,Yamhill,Oregon,41071.0,49,7.0
138299,2020-05-12,Yamhill,Oregon,41071.0,50,7.0
141295,2020-05-13,Yamhill,Oregon,41071.0,50,7.0
144291,2020-05-14,Yamhill,Oregon,41071.0,55,7.0
147292,2020-05-15,Yamhill,Oregon,41071.0,55,7.0
150299,2020-05-16,Yamhill,Oregon,41071.0,57,7.0
153310,2020-05-17,Yamhill,Oregon,41071.0,57,7.0
156327,2020-05-18,Yamhill,Oregon,41071.0,59,7.0
159348,2020-05-19,Yamhill,Oregon,41071.0,62,7.0
162375,2020-05-20,Yamhill,Oregon,41071.0,63,7.0
165404,2020-05-21,Yamhill,Oregon,41071.0,63,7.0
168440,2020-05-22,Yamhill,Oregon,41071.0,63,7.0
171479,2020-05-23,Yamhill,Oregon,41071.0,64,7.0
174521,2020-05-24,Yamhill,Oregon,41071.0,65,7.0
177565,2020-05-25,Yamhill,Oregon,41071.0,65,7.0
180608,2020-05-26,Yamhill,Oregon,41071.0,66,7.0
183658,2020-05-27,Yamhill,Oregon,41071.0,67,7.0
186715,2020-05-28,Yamhill,Oregon,41071.0,69,7.0
189776,2020-05-29,Yamhill,Oregon,41071.0,69,7.0
192841,2020-05-30,Yamhill,Oregon,41071.0,69,7.0
195910,2020-05-31,Yamhill,Oregon,41071.0,70,7.0
198983,2020-06-01,Yamhill,Oregon,41071.0,70,7.0
202058,2020-06-02,Yamhill,Oregon,41071.0,70,7.0
205135,2020-06-03,Yamhill,Oregon,41071.0,74,7.0
208216,2020-06-04,Yamhill,Oregon,41071.0,75,7.0
211298,2020-06-05,Yamhill,Oregon,41071.0,81,7.0
214384,2020-06-06,Yamhill,Oregon,41071.0,83,7.0
217474,2020-06-07,Yamhill,Oregon,41071.0,85,7.0
220566,2020-06-08,Yamhill,Oregon,41071.0,87,7.0
223661,2020-06-09,Yamhill,Oregon,41071.0,91,7.0
226761,2020-06-10,Yamhill,Oregon,41071.0,91,7.0
229865,2020-06-11,Yamhill,Oregon,41071.0,92,8.0
232970,2020-06-12,Yamhill,Oregon,41071.0,92,8.0
236075,2020-06-13,Yamhill,Oregon,41071.0,92,8.0
239183,2020-06-14,Yamhill,Oregon,41071.0,92,8.0
242292,2020-06-15,Yamhill,Oregon,41071.0,93,8.0
245404,2020-06-16,Yamhill,Oregon,41071.0,94,8.0
248517,2020-06-17,Yamhill,Oregon,41071.0,94,8.0
251632,2020-06-18,Yamhill,Oregon,41071.0,97,8.0
254747,2020-06-19,Yamhill,Oregon,41071.0,97,8.0
257873,2020-06-20,Yamhill,Oregon,41071.0,97,8.0
261000,2020-06-21,Yamhill,Oregon,41071.0,99,8.0
264128,2020-06-22,Yamhill,Oregon,41071.0,101,8.0
267256,2020-06-23,Yamhill,Oregon,41071.0,101,8.0
270390,2020-06-24,Yamhill,Oregon,41071.0,102,8.0
273529,2020-06-25,Yamhill,Oregon,41071.0,103,8.0
276676,2020-06-26,Yamhill,Oregon,41071.0,115,8.0
279824,2020-06-27,Yamhill,Oregon,41071.0,113,8.0
282970,2020-06-28,Yamhill,Oregon,41071.0,114,8.0
286115,2020-06-29,Yamhill,Oregon,41071.0,115,8.0
289266,2020-06-30,Yamhill,Oregon,41071.0,119,8.0
292418,2020-07-01,Yamhill,Oregon,41071.0,126,8.0
295574,2020-07-02,Yamhill,Oregon,41071.0,131,8.0
298733,2020-07-03,Yamhill,Oregon,41071.0,132,8.0
301897,2020-07-04,Yamhill,Oregon,41071.0,132,8.0
305060,2020-07-05,Yamhill,Oregon,41071.0,139,8.0
308227,2020-07-06,Yamhill,Oregon,41071.0,139,8.0
311396,2020-07-07,Yamhill,Oregon,41071.0,155,9.0
314568,2020-07-08,Yamhill,Oregon,41071.0,164,9.0
317741,2020-07-09,Yamhill,Oregon,41071.0,171,9.0
320919,2020-07-10,Yamhill,Oregon,41071.0,179,9.0
324099,2020-07-11,Yamhill,Oregon,41071.0,194,9.0
327284,2020-07-12,Yamhill,Oregon,41071.0,198,9.0
330470,2020-07-13,Yamhill,Oregon,41071.0,205,9.0
333662,2020-07-14,Yamhill,Oregon,41071.0,211,9.0
336856,2020-07-15,Yamhill,Oregon,41071.0,217,9.0
