,date,county,state,fips,cases,deaths
4799,2020-03-19,Yazoo,Mississippi,28163.0,1,0.0
5632,2020-03-20,Yazoo,Mississippi,28163.0,1,0.0
6619,2020-03-21,Yazoo,Mississippi,28163.0,1,0.0
7708,2020-03-22,Yazoo,Mississippi,28163.0,1,0.0
8891,2020-03-23,Yazoo,Mississippi,28163.0,1,0.0
10189,2020-03-24,Yazoo,Mississippi,28163.0,3,0.0
11610,2020-03-25,Yazoo,Mississippi,28163.0,3,0.0
13205,2020-03-26,Yazoo,Mississippi,28163.0,4,0.0
14926,2020-03-27,Yazoo,Mississippi,28163.0,4,0.0
16750,2020-03-28,Yazoo,Mississippi,28163.0,4,0.0
18672,2020-03-29,Yazoo,Mississippi,28163.0,5,0.0
20696,2020-03-30,Yazoo,Mississippi,28163.0,7,0.0
22814,2020-03-31,Yazoo,Mississippi,28163.0,9,0.0
24998,2020-04-01,Yazoo,Mississippi,28163.0,9,0.0
27253,2020-04-02,Yazoo,Mississippi,28163.0,11,1.0
29572,2020-04-03,Yazoo,Mississippi,28163.0,13,1.0
31952,2020-04-04,Yazoo,Mississippi,28163.0,19,1.0
34380,2020-04-05,Yazoo,Mississippi,28163.0,31,1.0
36843,2020-04-06,Yazoo,Mississippi,28163.0,32,1.0
39354,2020-04-07,Yazoo,Mississippi,28163.0,32,1.0
41908,2020-04-08,Yazoo,Mississippi,28163.0,38,1.0
44485,2020-04-09,Yazoo,Mississippi,28163.0,47,1.0
47094,2020-04-10,Yazoo,Mississippi,28163.0,55,1.0
49740,2020-04-11,Yazoo,Mississippi,28163.0,58,1.0
52413,2020-04-12,Yazoo,Mississippi,28163.0,63,1.0
55095,2020-04-13,Yazoo,Mississippi,28163.0,64,1.0
57793,2020-04-14,Yazoo,Mississippi,28163.0,64,1.0
60504,2020-04-15,Yazoo,Mississippi,28163.0,65,1.0
63226,2020-04-16,Yazoo,Mississippi,28163.0,72,1.0
65966,2020-04-17,Yazoo,Mississippi,28163.0,81,1.0
68718,2020-04-18,Yazoo,Mississippi,28163.0,85,1.0
71484,2020-04-19,Yazoo,Mississippi,28163.0,91,1.0
74257,2020-04-20,Yazoo,Mississippi,28163.0,95,1.0
77038,2020-04-21,Yazoo,Mississippi,28163.0,103,1.0
79823,2020-04-22,Yazoo,Mississippi,28163.0,103,1.0
82619,2020-04-23,Yazoo,Mississippi,28163.0,110,1.0
85423,2020-04-24,Yazoo,Mississippi,28163.0,117,1.0
88233,2020-04-25,Yazoo,Mississippi,28163.0,120,1.0
91049,2020-04-26,Yazoo,Mississippi,28163.0,122,1.0
93870,2020-04-27,Yazoo,Mississippi,28163.0,126,1.0
96706,2020-04-28,Yazoo,Mississippi,28163.0,129,1.0
99552,2020-04-29,Yazoo,Mississippi,28163.0,134,1.0
102404,2020-04-30,Yazoo,Mississippi,28163.0,135,1.0
105265,2020-05-01,Yazoo,Mississippi,28163.0,139,1.0
108130,2020-05-02,Yazoo,Mississippi,28163.0,144,1.0
111001,2020-05-03,Yazoo,Mississippi,28163.0,147,2.0
113880,2020-05-04,Yazoo,Mississippi,28163.0,151,2.0
116762,2020-05-05,Yazoo,Mississippi,28163.0,154,2.0
119722,2020-05-06,Yazoo,Mississippi,28163.0,155,2.0
122696,2020-05-07,Yazoo,Mississippi,28163.0,154,2.0
125678,2020-05-08,Yazoo,Mississippi,28163.0,162,2.0
128665,2020-05-09,Yazoo,Mississippi,28163.0,162,2.0
131655,2020-05-10,Yazoo,Mississippi,28163.0,164,2.0
134646,2020-05-11,Yazoo,Mississippi,28163.0,169,2.0
137636,2020-05-12,Yazoo,Mississippi,28163.0,169,2.0
140630,2020-05-13,Yazoo,Mississippi,28163.0,171,2.0
143625,2020-05-14,Yazoo,Mississippi,28163.0,176,2.0
146625,2020-05-15,Yazoo,Mississippi,28163.0,180,2.0
149630,2020-05-16,Yazoo,Mississippi,28163.0,182,2.0
152641,2020-05-17,Yazoo,Mississippi,28163.0,188,2.0
155655,2020-05-18,Yazoo,Mississippi,28163.0,190,2.0
158673,2020-05-19,Yazoo,Mississippi,28163.0,192,2.0
161699,2020-05-20,Yazoo,Mississippi,28163.0,194,2.0
164728,2020-05-21,Yazoo,Mississippi,28163.0,194,2.0
167764,2020-05-22,Yazoo,Mississippi,28163.0,198,2.0
170802,2020-05-23,Yazoo,Mississippi,28163.0,204,2.0
173844,2020-05-24,Yazoo,Mississippi,28163.0,215,2.0
176887,2020-05-25,Yazoo,Mississippi,28163.0,219,2.0
179931,2020-05-26,Yazoo,Mississippi,28163.0,221,2.0
182977,2020-05-27,Yazoo,Mississippi,28163.0,223,3.0
186033,2020-05-28,Yazoo,Mississippi,28163.0,227,4.0
189091,2020-05-29,Yazoo,Mississippi,28163.0,239,4.0
192155,2020-05-30,Yazoo,Mississippi,28163.0,273,4.0
195223,2020-05-31,Yazoo,Mississippi,28163.0,281,4.0
198294,2020-06-01,Yazoo,Mississippi,28163.0,283,4.0
201367,2020-06-02,Yazoo,Mississippi,28163.0,286,4.0
204444,2020-06-03,Yazoo,Mississippi,28163.0,291,4.0
207525,2020-06-04,Yazoo,Mississippi,28163.0,296,4.0
210606,2020-06-05,Yazoo,Mississippi,28163.0,298,5.0
213690,2020-06-06,Yazoo,Mississippi,28163.0,300,5.0
216778,2020-06-07,Yazoo,Mississippi,28163.0,301,5.0
219870,2020-06-08,Yazoo,Mississippi,28163.0,310,6.0
222965,2020-06-09,Yazoo,Mississippi,28163.0,321,6.0
226063,2020-06-10,Yazoo,Mississippi,28163.0,329,6.0
229165,2020-06-11,Yazoo,Mississippi,28163.0,329,6.0
232269,2020-06-12,Yazoo,Mississippi,28163.0,337,6.0
235375,2020-06-13,Yazoo,Mississippi,28163.0,347,6.0
238482,2020-06-14,Yazoo,Mississippi,28163.0,348,6.0
241591,2020-06-15,Yazoo,Mississippi,28163.0,348,6.0
244702,2020-06-16,Yazoo,Mississippi,28163.0,350,6.0
247815,2020-06-17,Yazoo,Mississippi,28163.0,354,6.0
250928,2020-06-18,Yazoo,Mississippi,28163.0,354,6.0
254043,2020-06-19,Yazoo,Mississippi,28163.0,354,6.0
257163,2020-06-20,Yazoo,Mississippi,28163.0,354,6.0
260289,2020-06-21,Yazoo,Mississippi,28163.0,354,6.0
263417,2020-06-22,Yazoo,Mississippi,28163.0,395,6.0
266543,2020-06-23,Yazoo,Mississippi,28163.0,407,6.0
269676,2020-06-24,Yazoo,Mississippi,28163.0,412,6.0
