,date,county,state,fips,cases,deaths
6183,2020-03-21,Yuba,California,6115.0,2,0.0
7218,2020-03-22,Yuba,California,6115.0,2,0.0
8361,2020-03-23,Yuba,California,6115.0,3,0.0
9603,2020-03-24,Yuba,California,6115.0,3,0.0
10976,2020-03-25,Yuba,California,6115.0,3,0.0
12521,2020-03-26,Yuba,California,6115.0,3,0.0
14187,2020-03-27,Yuba,California,6115.0,3,0.0
15969,2020-03-28,Yuba,California,6115.0,3,0.0
17859,2020-03-29,Yuba,California,6115.0,3,0.0
19836,2020-03-30,Yuba,California,6115.0,6,0.0
21911,2020-03-31,Yuba,California,6115.0,7,0.0
24070,2020-04-01,Yuba,California,6115.0,7,0.0
26299,2020-04-02,Yuba,California,6115.0,8,0.0
28599,2020-04-03,Yuba,California,6115.0,9,0.0
30956,2020-04-04,Yuba,California,6115.0,9,0.0
33362,2020-04-05,Yuba,California,6115.0,10,0.0
35807,2020-04-06,Yuba,California,6115.0,11,0.0
38297,2020-04-07,Yuba,California,6115.0,13,0.0
40840,2020-04-08,Yuba,California,6115.0,15,2.0
43412,2020-04-09,Yuba,California,6115.0,15,3.0
46012,2020-04-10,Yuba,California,6115.0,15,1.0
48642,2020-04-11,Yuba,California,6115.0,15,1.0
51304,2020-04-12,Yuba,California,6115.0,15,1.0
53983,2020-04-13,Yuba,California,6115.0,15,1.0
56675,2020-04-14,Yuba,California,6115.0,15,1.0
59383,2020-04-15,Yuba,California,6115.0,15,1.0
62102,2020-04-16,Yuba,California,6115.0,15,1.0
64835,2020-04-17,Yuba,California,6115.0,15,1.0
67583,2020-04-18,Yuba,California,6115.0,16,1.0
70345,2020-04-19,Yuba,California,6115.0,16,1.0
73114,2020-04-20,Yuba,California,6115.0,16,1.0
75890,2020-04-21,Yuba,California,6115.0,16,1.0
78674,2020-04-22,Yuba,California,6115.0,16,1.0
81468,2020-04-23,Yuba,California,6115.0,16,1.0
84268,2020-04-24,Yuba,California,6115.0,16,1.0
87076,2020-04-25,Yuba,California,6115.0,16,1.0
89893,2020-04-26,Yuba,California,6115.0,16,1.0
92711,2020-04-27,Yuba,California,6115.0,16,1.0
95543,2020-04-28,Yuba,California,6115.0,17,1.0
98388,2020-04-29,Yuba,California,6115.0,17,1.0
101238,2020-04-30,Yuba,California,6115.0,18,1.0
104093,2020-05-01,Yuba,California,6115.0,19,1.0
106958,2020-05-02,Yuba,California,6115.0,19,1.0
109827,2020-05-03,Yuba,California,6115.0,19,1.0
112702,2020-05-04,Yuba,California,6115.0,19,1.0
115585,2020-05-05,Yuba,California,6115.0,19,1.0
118544,2020-05-06,Yuba,California,6115.0,19,1.0
121511,2020-05-07,Yuba,California,6115.0,20,1.0
124491,2020-05-08,Yuba,California,6115.0,20,1.0
127477,2020-05-09,Yuba,California,6115.0,20,1.0
130467,2020-05-10,Yuba,California,6115.0,20,1.0
133458,2020-05-11,Yuba,California,6115.0,21,1.0
136447,2020-05-12,Yuba,California,6115.0,23,1.0
139438,2020-05-13,Yuba,California,6115.0,25,1.0
142434,2020-05-14,Yuba,California,6115.0,25,1.0
145434,2020-05-15,Yuba,California,6115.0,25,1.0
148437,2020-05-16,Yuba,California,6115.0,25,1.0
151446,2020-05-17,Yuba,California,6115.0,26,1.0
154458,2020-05-18,Yuba,California,6115.0,28,1.0
157474,2020-05-19,Yuba,California,6115.0,28,1.0
160500,2020-05-20,Yuba,California,6115.0,28,1.0
163528,2020-05-21,Yuba,California,6115.0,28,1.0
166561,2020-05-22,Yuba,California,6115.0,28,1.0
169598,2020-05-23,Yuba,California,6115.0,28,1.0
172639,2020-05-24,Yuba,California,6115.0,28,1.0
175683,2020-05-25,Yuba,California,6115.0,28,1.0
178727,2020-05-26,Yuba,California,6115.0,28,1.0
181771,2020-05-27,Yuba,California,6115.0,28,1.0
184825,2020-05-28,Yuba,California,6115.0,29,1.0
187881,2020-05-29,Yuba,California,6115.0,29,1.0
190946,2020-05-30,Yuba,California,6115.0,30,1.0
194013,2020-05-31,Yuba,California,6115.0,30,1.0
197083,2020-06-01,Yuba,California,6115.0,30,1.0
200156,2020-06-02,Yuba,California,6115.0,31,1.0
203232,2020-06-03,Yuba,California,6115.0,31,1.0
206312,2020-06-04,Yuba,California,6115.0,31,1.0
209393,2020-06-05,Yuba,California,6115.0,32,1.0
212478,2020-06-06,Yuba,California,6115.0,32,1.0
215565,2020-06-07,Yuba,California,6115.0,32,1.0
218656,2020-06-08,Yuba,California,6115.0,32,1.0
221751,2020-06-09,Yuba,California,6115.0,32,1.0
224846,2020-06-10,Yuba,California,6115.0,33,1.0
227948,2020-06-11,Yuba,California,6115.0,34,1.0
231051,2020-06-12,Yuba,California,6115.0,35,1.0
234157,2020-06-13,Yuba,California,6115.0,35,1.0
237264,2020-06-14,Yuba,California,6115.0,35,1.0
240372,2020-06-15,Yuba,California,6115.0,36,1.0
243483,2020-06-16,Yuba,California,6115.0,37,1.0
246596,2020-06-17,Yuba,California,6115.0,39,1.0
249708,2020-06-18,Yuba,California,6115.0,39,1.0
252823,2020-06-19,Yuba,California,6115.0,39,1.0
255942,2020-06-20,Yuba,California,6115.0,42,1.0
259069,2020-06-21,Yuba,California,6115.0,42,1.0
262196,2020-06-22,Yuba,California,6115.0,43,1.0
265324,2020-06-23,Yuba,California,6115.0,43,1.0
268454,2020-06-24,Yuba,California,6115.0,49,1.0
271589,2020-06-25,Yuba,California,6115.0,51,1.0
274729,2020-06-26,Yuba,California,6115.0,57,1.0
277877,2020-06-27,Yuba,California,6115.0,61,1.0
281024,2020-06-28,Yuba,California,6115.0,65,1.0
284170,2020-06-29,Yuba,California,6115.0,71,1.0
287316,2020-06-30,Yuba,California,6115.0,75,1.0
290467,2020-07-01,Yuba,California,6115.0,94,1.0
