fips,cases,deaths
41003,30,5
41005,214,7
41007,6,0
41009,14,0
41011,20,0
41013,1,0
41015,4,0
41017,76,0
41019,24,0
41023,1,0
41025,1,0
41027,6,0
41029,49,0
41031,10,0
41033,20,1
41035,38,0
41039,50,2
41041,5,0
41043,86,7
41045,8,0
41047,491,18
41049,6,0
41051,707,43
41053,39,1
41055,1,0
41057,6,0
41059,50,0
41061,4,0
41063,2,0
41065,13,1
41067,491,11
41071,39,7
33001,35,0
33003,32,0
33005,40,2
33007,2,0
33009,50,0
33011,964,35
33013,177,3
33015,692,22
33017,141,9
33019,12,1
25001,860,43
25003,442,35
25005,3580,172
25007,17,1
25009,8673,448
25011,257,37
25013,3777,373
25015,546,30
25017,14208,845
25019,11,0
25021,5896,499
25023,5083,285
25025,12890,524
25027,5550,265
17001,40,0
17003,3,0
17005,6,1
17007,98,9
17011,11,0
17013,1,0
17015,9,2
17017,33,0
17019,130,6
17021,30,5
17023,5,0
17025,2,0
17027,106,3
17029,22,1
17031,36513,1607
17033,10,0
17035,3,0
17037,95,1
17039,3,0
17041,14,0
17043,3081,163
17049,6,1
17051,16,2
17053,10,1
17055,8,0
17057,3,0
17059,2,0
17061,3,0
17063,35,0
17065,2,0
17067,6,0
17069,1,0
17071,4,0
17073,45,0
17075,27,0
17077,107,7
17079,44,5
17081,83,12
17083,12,1
17085,13,0
17087,4,0
17089,1526,48
17091,338,28
17093,266,7
17095,46,0
17097,3509,138
17099,53,1
17101,3,0
17103,24,0
17105,20,1
17107,7,0
17109,18,0
17111,621,34
17113,95,3
17115,106,12
17117,30,0
17119,333,21
17121,33,0
17123,4,0
17125,12,0
17127,4,0
17129,8,0
17131,8,0
17133,70,10
17135,26,1
17137,22,1
17139,5,0
17141,119,1
17143,86,3
17145,21,0
17147,7,0
17149,1,0
17153,18,0
17157,156,1
17159,3,0
17161,377,9
17163,475,30
17165,3,0
17167,178,9
17169,2,0
17173,10,1
17175,1,0
17177,35,0
17179,45,3
17181,17,0
17183,17,1
17185,2,0
17187,62,0
17189,10,0
17191,2,0
09001,11294,810
17193,2,0
09003,5601,698
17195,84,6
09005,963,80
17197,2492,151
09007,657,79
17199,31,0
09009,7536,512
17201,442,14
09011,564,36
17203,13,1
09013,437,36
05047,2,0
09015,186,4
05049,1,0
50001,61,2
50003,44,1
50005,13,0
50007,418,32
50009,3,0
50011,93,5
50013,3,0
50015,26,1
50017,7,0
50019,9,0
50021,45,1
50023,33,1
50025,71,3
50027,40,2
05065,5,0
05067,1,0
05073,7,1
01001,43,4
01003,174,3
01005,39,1
01007,42,0
01009,37,0
01011,13,0
01013,53,1
01015,93,3
01017,293,21
05087,1,0
01019,15,0
01021,53,1
01023,43,0
01025,32,1
01027,21,1
01029,12,1
05089,1,0
01031,111,1
01033,29,2
01035,10,0
01037,31,1
01039,36,1
01041,19,0
42001,137,4
01043,55,1
42003,1289,94
01045,27,0
42005,51,2
01047,38,3
42007,405,65
01049,77,2
42009,24,1
01051,86,2
42011,2698,117
01053,28,1
42013,23,0
01055,139,9
42015,31,5
01057,6,0
42017,3070,217
01059,58,1
42019,178,7
42021,28,2
01061,9,0
